FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,Lanes,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegIDnum,Corridor,Period,Order
36717, ,1310408720,1310322906,1310408708,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Annandale,0.524741758,4,0, ,                I 495,38.85493,-77.21977,38.86252,-77.21982,                     N,1940436,4326,1310408720,I-495-N,AM,1
36715, ,1310408708,1310408720,1310303984,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           West Falls Church,0.646816342,4,0, ,                I 495,38.86252,-77.21982,38.87188,-77.2199,                     N,1940436,4326,1310408708,I-495-N,AM,2
19622, ,1310303984,1310408708,1310555671,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           West Falls Church,0.35326195,4,0, ,                I 495,38.87012,-77.21988,38.87522,-77.2201,                     N,1940436,4326,1310303984,I-495-N,AM,3
60742, ,1310555671,1310303984,1310249379,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.436227432,5,0, ,                I 495,38.87522,-77.2201,38.88146,-77.22132,                     N,1940436,4326,1310555671,I-495-N,AM,4
9341, ,1310249379,1310555671,1310388985,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.571512368,4,0, ,                I 495,38.88146,-77.22132,38.88927,-77.21819,                     N,1940436,4326,1310249379,I-495-N,AM,5
33552, ,1310388985,1310249379,1310388998,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.507306082,4,0, ,                I 495,38.88927,-77.21819,38.89608,-77.21476,                     N,1940436,4326,1310388985,I-495-N,AM,6
33557, ,1310388998,1310388985,1310438011,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.560277976,4,0, ,                I 495,38.89608,-77.21476,38.90404,-77.21614,                     N,1940436,4326,1310388998,I-495-N,AM,7
41373, ,1310438011,1310388998,1310370202,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.847438459,4.072,0, ,                I 495,38.90404,-77.21614,38.9162,-77.21729,                     N,1940436,4326,1310438011,I-495-N,AM,8
30619, ,1310370202,1310438011,1310263171,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.175313668,4.355,0, ,                I 495,38.91531,-77.21739,38.91783,-77.21698,                     N,1940436,4326,1310370202,I-495-N,AM,9
11954, ,1310263171,1310370202,1310505117,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.374332647,4,0, ,                I 495,38.9162,-77.21729,38.92151,-77.21593,                     N,1940436,4326,1310263171,I-495-N,AM,10
52523, ,1310505117,1310263171,1310438025,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.092640231,5,0, ,                I 495,38.92151,-77.21593,38.92279,-77.2154,                     N,1940436,4326,1310505117,I-495-N,AM,11
41376, ,1310438025,1310505117,1310403877,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.155460859,4,0, ,                I 495,38.92279,-77.2154,38.92487,-77.21433,                     N,1940436,4326,1310438025,I-495-N,AM,12
16305, ,1310285905,1310285938,1310285916,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.123913843,4,0,               HOV,                I 495,38.92417,-77.21474,38.92581,-77.2138,                     N,1956538,4326,1310285905,I-495-N,AM,13
35938, ,1310403877,1310438025,1310231369,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.385188002,4,0, ,                I 495,38.92487,-77.21433,38.92986,-77.21114,                     N,1940436,4326,1310403877,I-495-N,AM,14
6029, ,1310231369,1310403877,1310261307,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.210048318,4,0, ,                I 495,38.92986,-77.21114,38.93265,-77.20957,                     N,1940436,4326,1310231369,I-495-N,AM,15
11589, ,1310261307,1310231369,1310567213,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.345675008,4,0, ,                I 495,38.93265,-77.20957,38.93724,-77.20703,                     N,1940436,4326,1310261307,I-495-N,AM,16
62653, ,1310567213,1310261307, ,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.29411984,4,0, ,                I 495,38.93724,-77.20703,38.94116,-77.20488,                     N,1940436,4326,1310567213,I-495-N,AM,17
53710, ,1310512832,1310516613,1310466600,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.89067968,3.395,0, ,"                495 Express Lanes,I 495",38.94121,-77.20505,38.95183,-77.19599,                     N,238908,4326,1310512832,I-495-N,AM,18
45940, ,1310466600,1310512832,1310298177,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.420494313,4,0, ,                I 495,38.95183,-77.19599,38.95724,-77.1925,                     N,238908,4326,1310466600,I-495-N,AM,19
18580, ,1310298177,1310466600,1310365816,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.51356329,4,0, ,                I 495,38.95724,-77.1925,38.9623,-77.18606,                     N,238908,4326,1310298177,I-495-N,AM,20
29877, ,1310365816,1310298177,1310310908,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.411304233,4,0, ,                I 495,38.9623,-77.18606,38.96599,-77.18026,                     E,238908,4326,1310365816,I-495-N,AM,21
58094, ,1310539199,1310311354,1310538935,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Vienna,0.397565716,3,0, ,                I 66,38.87919,-77.25155,38.87961,-77.24418,                     E,263139,4326,1310539199,I-66-E,AM,1
58050, ,1310538935,1310539199,1310538921,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.487328998,3,0, ,                I 66,38.87961,-77.24418,38.88094,-77.23533,                     E,263139,4326,1310538935,I-66-E,AM,2
58047, ,1310538921,1310538935,1310516307,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.472291816,3,0, ,                I 66,38.88094,-77.23533,38.88343,-77.22715,                     E,263139,4326,1310538921,I-66-E,AM,3
54341, ,1310516307,1310538921,1310243603,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.103638501,3,0, ,                I 66,38.88343,-77.22715,38.88398,-77.22536,                     E,263139,4326,1310516307,I-66-E,AM,4
8296, ,1310243603,1310516307,1310548572,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.204685884,3,0, ,                I 66,38.88398,-77.22536,38.88512,-77.22185,                     E,263139,4326,1310243603,I-66-E,AM,5
46321, ,1310468986, ,1310292613,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.135806888,3,0, ,                I 66,38.88471,-77.22309,38.8855,-77.22078,                     E,263139,4326,1310468986,I-66-E,AM,6
17609, ,1310292613,1310468986, ,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.218548676,3,0, ,                I 66,38.8855,-77.22078,38.88708,-77.21727,                     E,263139,4326,1310292613,I-66-E,AM,7
11574, ,1310261214,1310564402,1310261178,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.581914121,2.615,0, ,                I 66,38.88708,-77.21727,38.89199,-77.20848,                     E,263139,4326,1310261214,I-66-E,AM,8
