FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegID_nu,Corridor,Period,order
38801,8936511,1310408720,1310322906,1310408708,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Annandale,0.524766613,0, ,               I 495,38.85493,-77.21977,38.86252,-77.21982,                    N,1265214,4326,1310408720,I-495-N,AM,1
38797,8936504,1310408708,1310408720,1310303984,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           West Falls Church,0.524760399,0, ,               I 495,38.86252,-77.21982,38.87012,-77.21988,                    N,1265214,4326,1310408708,I-495-N,AM,2
19040,8863752,1310303984,1310408708,1310555671,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           West Falls Church,0.298817406,0, ,               I 495,38.87012,-77.21988,38.87444,-77.21998,                    N,1265214,4326,1310303984,I-495-N,AM,3
66569,9038404,1310555671,1310303984,1310249379,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.490889455,0, ,               I 495,38.87445,-77.21988,38.88146,-77.22132,                    N,1265214,4326,1310555671,I-495-N,AM,4
7122,8825787,1310249379,1310555671,1310388985,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.519118349,0, ,               I 495,38.88146,-77.22132,38.88858,-77.2186,                    N,1265214,4326,1310249379,I-495-N,AM,5
35161,8922616,1310388985,1310249379,1310388998,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.559544758,0, ,               I 495,38.88855,-77.2185,38.89608,-77.21476,                    N,1265214,4326,1310388985,I-495-N,AM,6
35168,8922624,1310388998,1310388985,1310438011,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.560277976,0, ,               I 495,38.89608,-77.21476,38.90404,-77.21614,                    N,1265214,4326,1310388998,I-495-N,AM,7
44147,8957191,1310438011,1310388998,1310370202,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.819905502,0, ,               I 495,38.90404,-77.21614,38.9158,-77.21733,                    N,1265214,4326,1310438011,I-495-N,AM,8
31744,8909696,1310370202,1310438011,1310263171,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.141113398,0, ,               I 495,38.9158,-77.21733,38.91783,-77.21698,                    N,1265214,4326,1310370202,I-495-N,AM,9
10132,8835276,1310263171,1310370202,1310505117,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.260752207,0, ,               I 495,38.91783,-77.21698,38.92151,-77.21593,                    N,1265214,4326,1310263171,I-495-N,AM,10
57016,9003954,1310505117,1310263171,1310438025,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.112654597,0, ,               I 495,38.92151,-77.21593,38.92306,-77.21527,                    N,1265214,4326,1310505117,I-495-N,AM,11
44150,8957200,1310438025,1310505117,1310403877,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.15494512,0, ,               I 495,38.92306,-77.21527,38.92513,-77.21419,                    N,1265214,4326,1310438025,I-495-N,AM,12
15178,8851153,1310285905,1310285938,1310285916,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.123913843,0,              HOV,               I 495,38.92417,-77.21474,38.92581,-77.2138,                    N,1283333,4326,1310285905,I-495-N,AM,13
37894,8933016,1310403877,1310438025,1310231369,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.365689374,0, ,               I 495,38.92513,-77.21419,38.92986,-77.21114,                    N,1265214,4326,1310403877,I-495-N,AM,14
3263,8813419,1310231369,1310403877,1310261307,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.238165364,0, ,               I 495,38.92986,-77.21114,38.93302,-77.20937,                    N,1265214,4326,1310231369,I-495-N,AM,15
9712,8834019,1310261307,1310231369,1310567213,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.268034677,0, ,               I 495,38.93311,-77.20932,38.93668,-77.20735,                    N,1265214,4326,1310261307,I-495-N,AM,16
68801,9046251,1310567213,1310261307,1310512832,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.337075231,0, ,               I 495,38.93668,-77.20735,38.94116,-77.20488,                    N,1265214,4326,1310567213,I-495-N,AM,17
58411,9009098,1310512832,1310567213,1310466600,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.837552443,0, ,"               495 Express Lanes,I 495",38.94121,-77.20505,38.95127,-77.19666,                    N,1258313,4326,1310512832,I-495-N,AM,18
49358,8977313,1310466600,1310512832,1310298177,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.517254235,0, ,               I 495,38.95127,-77.19666,38.95784,-77.19227,                    N,1258313,4326,1310466600,I-495-N,AM,19
17828,8859733,1310298177,1310466600,1310365816,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.463990296,0, ,               I 495,38.95784,-77.19227,38.96226,-77.18615,                    E,1258313,4326,1310298177,I-495-N,AM,20
30905,8906613,1310365816,1310298177,1310310908,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.360774328,0, ,               I 495,38.9623,-77.18606,38.96536,-77.18072,                    E,1258313,4326,1310365816,I-495-N,AM,21
30162,8903794,1310361713,1310241822,1310217686,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.941265509,0, ,               I 495,38.96521,-77.18114,38.95615,-77.19324,                    W,1251571,4326,1310361713,I-495-N,AM,22
20421,8868636,1310310908,1310365816,1310534601,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.445461008,0, ,               I 495,38.96536,-77.18072,38.9716,-77.17898,                    N,1258313,4326,1310310908,I-495-N,AM,23
63512,9027293,1310539199,1310311354,1310538935,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Vienna,0.487391136,0, ,               I 66,38.87909,-77.25321,38.87961,-77.24418,                    E,1273092,4326,1310539199,I-66-E,AM,1
63457,9027131,1310538935,1310539199,1310538921,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.48734764,0, ,               I 66,38.87961,-77.24418,38.88094,-77.23533,                    E,1273092,4326,1310538935,I-66-E,AM,2
63455,9027123,1310538921,1310538935,1310516307,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.487384922,0, ,               I 66,38.88094,-77.23533,38.88351,-77.22689,                    E,1273092,4326,1310538921,I-66-E,AM,3
59141,9011592,1310516307,1310538921,1310243603,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.109156277,0, ,               I 66,38.88351,-77.22689,38.88409,-77.22501,                    E,1273092,4326,1310516307,I-66-E,AM,4
5927,8821937,1310243603,1310516307,1310468986,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.111343504,0, ,               I 66,38.88409,-77.22501,38.88471,-77.22309,                    E,1273092,4326,1310243603,I-66-E,AM,5
49806,8978922,1310468986,1310243603,1310292613,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.118737821,0, ,               I 66,38.88471,-77.22309,38.8854,-77.22107,                    E,1273092,4326,1310468986,I-66-E,AM,6
16699,8855955,1310292613,1310468986,1310261214,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.235617742,0, ,               I 66,38.8854,-77.22107,38.88708,-77.21727,                    E,1273092,4326,1310292613,I-66-E,AM,7
9693,8833954,1310261214,1310292613,1310261178,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.581914121,0, ,               I 66,38.88708,-77.21727,38.89199,-77.20848,                    E,1273092,4326,1310261214,I-66-E,AM,8
9684,8833932,1310261178,1310261214,1310376732,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.587257914,0, ,               I 66,38.89199,-77.20848,38.89702,-77.19967,                    E,1273092,4326,1310261178,I-66-E,AM,9
32936,8914339,1310376732,1310261178,1310273144,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.695811461,0, ,               I 66,38.89702,-77.19967,38.90049,-77.18791,                    E,1273092,4326,1310376732,I-66-E,AM,10
12301,8842092,1310273144,1310376732,1310447311,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.255688032,0, ,               I 66,38.90049,-77.18791,38.89959,-77.18333,                    E,1273092,4326,1310273144,I-66-E,AM,11
45753,8963805,1310447311,1310273144,1310336451,0,66,      I 66, ,        United States of America,         Virginia,          Fairfax,           McLean,0.977895341,0, ,               I 66,38.89959,-77.18333,38.89262,-77.16779,                    E,1273092,4326,1310447311,I-66-E,AM,12
25595,8886977,1310336451,1310447311,1310349642,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.230932604,0, ,               I 66,38.89262,-77.16779,38.89016,-77.16488,                    S,1273092,4326,1310336451,I-66-E,AM,13
27931,8895587,1310349642,1310336451,1310403053,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.875592788,0, ,               I 66,38.89016,-77.16488,38.88383,-77.15103,                    E,1273092,4326,1310349642,I-66-E,AM,14
37739,8932418,1310403053,1310349642,1310403017,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.525891295,0, ,               I 66,38.88383,-77.15103,38.88087,-77.14202,                    E,1273092,4326,1310403053,I-66-E,AM,15
37733,8932388,1310403017,1310403053,1310403029,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.526295186,0, ,               I 66,38.88087,-77.14202,38.87921,-77.13264,                    E,1273092,4326,1310403017,I-66-E,AM,16
37735,8932398,1310403029,1310403017,1310548232,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.526922771,0, ,               I 66,38.87921,-77.13264,38.88103,-77.12338,                    E,1273092,4326,1310403029,I-66-E,AM,17
65112,9033339,1310548232,1310403029,1310599570,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.667240813,0, ,               I 66,38.88103,-77.12338,38.88787,-77.11498,                    N,1273092,4326,1310548232,I-66-E,AM,18
,,1310599570,1310548232,1310337025,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.839049948,0, ,               I 66,38.88787,-77.11498,38.89259,-77.10101,                    E,1273092,4326,1310599570,I-66-E,AM,19
25696,8887318,1310337025,1310599570,1310483840,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.992025322,0, ,               I 66,38.89259,-77.10101,38.89788,-77.08603,                    E,1273092,4326,1310337025,I-66-E,AM,20
52445,8989001,1310483840,1310337025,1310483802,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.533819991,0, ,               I 66,38.89788,-77.08603,38.89841,-77.07698,                    E,1273092,4326,1310483840,I-66-E,AM,21
52438,8988973,1310483802,1310483840, ,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.540238755,0, ,               I 66,38.89841,-77.07698,38.89658,-77.06817,                    E,1273092,4326,1310483802,I-66-E,AM,22
71023,9054365,1310579121,1310379888,1310324865,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.147867703,0, ,               I 66,38.89658,-77.06817,38.89446,-77.06785,                    S,1273092,4326,1310579121,I-66-E,AM,23
23401,8878963,1310324865,1310579121,1310471443,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.249666945,0, ,               I 66,38.89446,-77.06785,38.8918,-77.06505,                    S,1273092,4326,1310324865,I-66-E,AM,24
71977,9057677,1310583894,1310465140,1310583857,0,66,      I 66, ,        United States of America,         Virginia,          Arlington,           Arlington,0.074353277,0, ,               I 66,38.89559,-77.06779,38.89665,-77.068,                    N,1256498,4326,1310583894,I-66-E,AM,25
59544,9013083,1310518332,1310518345,1310518275,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.095473684,0, ,               VA 267,38.93449,-77.2418,38.93432,-77.24004,                    E,1382396,4326,1310518332,VA-267-S,AM,1
59534,9013045,1310518275,1310518332,1310518262,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.324933637,0, ,               VA 267,38.93432,-77.24004,38.93355,-77.23407,                    E,1382396,4326,1310518275,VA-267-S,AM,2
59545,9013092,1310518345,1310518309,1310518332,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.168248678,0, ,               VA 267,38.93428,-77.24491,38.93449,-77.2418,                    E,1382396,4326,1310518345,VA-267-S,AM,3
59540,9013068,1310518309,1310518322,1310518345,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.057787521,0, ,               VA 267,38.93404,-77.24603,38.93426,-77.245,                    E,1382396,4326,1310518309,VA-267-S,AM,4
59594,9013253,1310518573,1310518586,1310518322,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.771581464,0, ,               VA 267,38.93396,-77.2648,38.93263,-77.25114,                    E,1382396,4326,1310518573,VA-267-S,AM,5
59536,9013053,1310518286,1310518298,1310518422,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.136602243,0, ,               VA 267,38.93381,-77.22057,38.93349,-77.21807,                    E,1382396,4326,1310518286,VA-267-S,AM,6
59537,9013062,1310518298,1310518262,1310518286,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.348154279,0, ,               VA 267,38.93361,-77.22704,38.93381,-77.22057,                    E,1382396,4326,1310518298,VA-267-S,AM,7
59533,9013036,1310518262,1310518275,1310518298,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.388263789,0, ,               VA 267,38.93357,-77.23425,38.93361,-77.22704,                    E,1382396,4326,1310518262,VA-267-S,AM,8
59563,9013139,1310518422,1310518286,1310518409,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.496792482,0, ,               VA 267,38.93349,-77.21807,38.93072,-77.20956,                    E,1382396,4326,1310518422,VA-267-S,AM,9
59542,9013076,1310518322,1310518573,1310518309,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.29165921,0, ,               VA 267,38.93263,-77.25114,38.93404,-77.24603,                    E,1382396,4326,1310518322,VA-267-S,AM,10
59560,9013132,1310518409,1310518422,1310518445,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.063473067,0, ,               VA 267,38.93071,-77.20951,38.93032,-77.20844,                    E,1382396,4326,1310518409,VA-267-S,AM,11
59567,9013151,1310518445,1310518409,1310518432,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.222848564,0, ,               VA 267,38.93032,-77.20844,38.92895,-77.20469,                    E,1382396,4326,1310518445,VA-267-S,AM,12
59565,9013143,1310518432,1310518445,1310518374,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.083680058,0, ,"               VA 267,SR 267",38.92895,-77.20469,38.92844,-77.20328,                    E,1382396,4326,1310518432,VA-267-S,AM,13
59554,9013111,1310518374,1310518432,1310518362,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax, ,0.182043118,0, ,"               SR 267,VA 267",38.92844,-77.20328,38.92729,-77.20024,                    E,1382396,4326,1310518374,VA-267-S,AM,14
59559,9013126,1310518398,1310518362,1310518385,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax,           Pimmit Hills,0.603090452,0, ,"               VA 267,SR 267,VA 267",38.92675,-77.19945,38.91923,-77.19386,                    S,1382396,4326,1310518398,VA-267-S,AM,15
59556,9013118,1310518385,1310518398,1310518127,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax,           Pimmit Hills,0.613871242,0, ,"               VA 267,SR 267,VA 267",38.91936,-77.19395,38.91192,-77.18779,                    S,1382396,4326,1310518385,VA-267-S,AM,16
59507,9012961,1310518127,1310518385,1310518114,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax,           Pimmit Hills,0.603264435,0, ,               VA 267,38.91192,-77.18779,38.90339,-77.18856,                    S,1382396,4326,1310518127,VA-267-S,AM,17
59503,9012951,1310518114,1310518127, ,0,267,      VA 267, ,        United States of America,         Virginia,          Fairfax,           Idylwood,0.45355126,0, ,"               VA 267,I 66",38.90338,-77.18856,38.89959,-77.18333,                    E,1551112,4326,1310518114,VA-267-S,AM,18
15248,8851378,1310286193,1310286182,1310286161,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           Annandale,0.565509922,0,              HOV,               495 Express Lanes,38.84929,-77.21997,38.85747,-77.21997,                    N,1283333,4326,1310286193,495-EXPRS-N,AM,1
15239,8851353,1310286161,1310286193,1310286170,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           Annandale,0.531520918,0,              HOV,               495 Express Lanes,38.85753,-77.21997,38.86522,-77.22007,                    N,1283333,4326,1310286161,495-EXPRS-N,AM,2
15241,8851360,1310286170,1310286161,1310286137,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.531601696,0,              HOV,               495 Express Lanes,38.86522,-77.22007,38.87292,-77.2201,                    N,1283333,4326,1310286170,495-EXPRS-N,AM,3
15236,8851338,1310286137,1310286170,1310286148,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           West Falls Church,0.412870089,0,              HOV,               495 Express Lanes,38.87292,-77.2201,38.87882,-77.22114,                    N,1283333,4326,1310286137,495-EXPRS-N,AM,4
46312,8965756,1310450035, ,1310472622,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           West Falls Church,0.195185119,0, ,               495 Express Lanes,38.87292,-77.2201,38.87573,-77.22038,                    N,1483225,4326,1310450035,495-EXPRS-N,AM,5
50422,8981346,1310472622,1310450035, ,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           West Falls Church,0.012340432,0, ,               495 Express Lanes,38.87573,-77.22038,38.8759,-77.22043,                    N,1483225,4326,1310472622,495-EXPRS-N,AM,6
15237,8851345,1310286148,1310286137,1310249546,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           Merrifield,0.904051588,0,              HOV,               495 Express Lanes,38.87882,-77.22114,38.89121,-77.21724,                    N,1283333,4326,1310286148,495-EXPRS-N,AM,7
7155,8825896,1310249546,1310286148,1310285929,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.947559999,0,              HOV,               495 Express Lanes,38.89121,-77.21724,38.90441,-77.2164,                    N,1283333,4326,1310249546,495-EXPRS-N,AM,8
15183,8851169,1310285929,1310249546,1310285938,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.842840312,0,              HOV,               495 Express Lanes,38.90441,-77.2164,38.91652,-77.2174,                    N,1283333,4326,1310285929,495-EXPRS-N,AM,9
15185,8851175,1310285938,1310285929,1310285905,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax, ,0.561676062,0,              HOV,               495 Express Lanes,38.91652,-77.2174,38.92437,-77.21481,                    N,1283333,4326,1310285938,495-EXPRS-N,AM,10
15179,8851160,1310285916,1310285905,1310285885,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax, ,0.117886543,0,              HOV,               495 Express Lanes,38.92602,-77.21407,38.92756,-77.21313,                    N,1283333,4326,1310285916,495-EXPRS-N,AM,11
15174,8851142,1310285885,1310285916,1310516613,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax, ,0.368305347,0,              HOV,               495 Express Lanes,38.92756,-77.21313,38.93244,-77.21037,                    N,1283333,4326,1310285885,495-EXPRS-N,AM,12
59198,9011815,1310516613,1310285885, ,0,495,      495 Express Lanes, ,        United States of America,         Virginia,          Fairfax,           McLean,0.670863407,0, ,               495 Express Lanes,38.93244,-77.21037,38.94121,-77.20505,                    N,1283333,4326,1310516613,495-EXPRS-N,AM,13
5534,8820697,1310241822,1310534545,1310361713,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.47132869,0, ,               I 495,38.97178,-77.17918,38.96521,-77.18114,                    S,1251571,4326,1310241822,I-495-S,PM,1
30162,8903794,1310361713,1310241822,1310217686,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.941265509,0, ,               I 495,38.96521,-77.18114,38.95615,-77.19324,                    W,1251571,4326,1310361713,I-495-S,PM,2
30905,8906613,1310365816,1310298177,1310310908,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.360774328,0, ,               I 495,38.9623,-77.18606,38.96536,-77.18072,                    E,1258313,4326,1310365816,I-495-S,PM,3
17828,8859733,1310298177,1310466600,1310365816,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.463990296,0, ,               I 495,38.95784,-77.19227,38.96226,-77.18615,                    E,1258313,4326,1310298177,I-495-S,PM,4
292,8804220,1310217686,1310361713,1310564327,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.316172304,0, ,               I 495,38.95615,-77.19324,38.95215,-77.19602,                    S,1251571,4326,1310217686,I-495-S,PM,5
68304,9044434,1310564327,1310217686,1310361728,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.872939533,0, ,               I 495,38.95215,-77.19602,38.94182,-77.20512,                    S,1251571,4326,1310564327,I-495-S,PM,6
30163,8903803,1310361728,1310564327,1310361688,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.600822447,0, ,               I 495,38.94182,-77.20511,38.93423,-77.21042,                    S,1256315,4326,1310361728,I-495-S,PM,7
30156,8903778,1310361688,1310361728,1310283350,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,0.116326901,0, ,               I 495,38.93423,-77.21042,38.93314,-77.21207,                    W,1256315,4326,1310361688,I-495-S,PM,8
14608,8849293,1310283350,1310361688,1310564575,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.506467231,0, ,               I 495,38.93314,-77.21207,38.92631,-77.21447,                    S,1256315,4326,1310283350,I-495-S,PM,9
68343,9044597,1310564575,1310283350,1310361702,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.114270162,0, ,               I 495,38.92631,-77.21447,38.92474,-77.21511,                    S,1256315,4326,1310564575,I-495-S,PM,10
30159,8903787,1310361702,1310564575,1310361860,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.202685069,0, ,               I 495,38.92474,-77.21511,38.92204,-77.21657,                    S,1256315,4326,1310361702,I-495-S,PM,11
30182,8903886,1310361860,1310361702,1310341839,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.096051559,0, ,               I 495,38.92204,-77.21657,38.9207,-77.21704,                    S,1256315,4326,1310361860,I-495-S,PM,12
26562,8890492,1310341839,1310361860,1310361869,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.207258361,0, ,               I 495,38.9207,-77.21704,38.91773,-77.21761,                    S,1256315,4326,1310341839,I-495-S,PM,13
30184,8903892,1310361869,1310341839,1310361832,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,0.117874115,0, ,               I 495,38.91773,-77.21761,38.91604,-77.21786,                    S,1256315,4326,1310361869,I-495-S,PM,14
6537,8823899,1310246536,1310470980,1310470946,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.912116986,0,              HOV,               I 495,38.91651,-77.21781,38.90344,-77.21651,                    S,1252439,4326,1310246536,I-495-S,PM,15
30178,8903865,1310361832,1310361869,1310222458,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.845754543,0, ,               I 495,38.91604,-77.21786,38.90391,-77.21667,                    S,1256315,4326,1310361832,I-495-S,PM,16
1313,8807360,1310222458,1310361832,1310361845,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.839242573,0, ,               I 495,38.9039,-77.21678,38.8922,-77.21705,                    S,1256315,4326,1310222458,I-495-S,PM,17
30180,8903874,1310361845,1310222458,1310361808,0,495,      I 495, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,0.44872942,0, ,               I 495,38.8922,-77.21705,38.88687,-77.22172,                    S,1256315,4326,1310361845,I-495-S,PM,18
