origin,destination,period,path,zscore,pvalue
"Loudoun County, NOVA","Capital Hill, DC",AM,I-66-WB,25.531402234429272,0.0
"Loudoun County, NOVA","Capital Hill, DC",AM,US-50-EB,45.21364778098711,0.0
"Loudoun County, NOVA","Capital Hill, DC",AM,I-66-EB,0.3025232238572129,0.7622532322596007
"Loudoun County, NOVA","Capital Hill, DC",AM,US-29-NB,1.8702958820307696,0.061442741086011
"Loudoun County, NOVA","Capital Hill, DC",PM,I-66-WB,31.449085800889783,0.0
"Loudoun County, NOVA","Arlington, DC",AM,US-50-EB,3.438237872768277,0.0005855131093002175
"Loudoun County, NOVA","Arlington, DC",AM,I-66-EB,0.7620042989409684,0.4460574384027307
"Loudoun County, NOVA","Arlington, DC",AM,US-29-NB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Arlington, DC",AM,I-66-WB-TZ4-3-2_US-50-WB-TZ1,1.9618745361816987,0.04977709309805656
"Loudoun County, NOVA","Arlington, DC",PM,I-66-WB,1.019528058148106,0.3079523396034747
"Loudoun County, NOVA","Arlington, DC",PM,I-66-EB,0.9808824941560764,0.32665069116136314
"Loudoun County, NOVA","Alexandria, DC",AM,US-50-EB,0.028600811613145927,0.9771829647767425
"Loudoun County, NOVA","Alexandria, DC",AM,I-66-EB,1.9172382516908386,0.055207670538232945
"Loudoun County, NOVA","Alexandria, DC",AM,US-29-NB,1.010202805758851,0.31239813530948557
"Loudoun County, NOVA","Alexandria, DC",PM,I-66-WB,1.010202805758851,0.31239813530948557
"Loudoun County, NOVA","Maryland, DC",AM,US-50-EB,0.5460234102290812,0.5850498452882658
"Loudoun County, NOVA","Maryland, DC",AM,I-66-EB,2.8795621496364494,0.003982277998120454
"Loudoun County, NOVA","Maryland, DC",AM,US-50-WB,30.124148539763926,0.0
"Loudoun County, NOVA","Maryland, DC",AM,US-29-NB-TZ1_I-66-EB-TZ2-3-4,2.6967315189958048,0.0070023702067025795
"Loudoun County, NOVA","Maryland, DC",AM,I-66-WB,2.038519227506413,0.041498033862652495
"Loudoun County, NOVA","Maryland, DC",AM,I-66-EB-TZ1-2-3_US-29-NB-TZ4,0.18764708156046733,0.8511533160125864
"Loudoun County, NOVA","Maryland, DC",AM,I-66-EB-TZ1-2_US-29-NB-TZ3-4,4.993628958833005,5.92551875566727e-07
"Loudoun County, NOVA","Maryland, DC",AM,US-29-NB,2.595842930143576,0.009435918927259479
"Loudoun County, NOVA","Maryland, DC",AM,US-50-EB-TZ1-2_I-66-EB-TZ3-4,0.9811188984124452,0.32653411197486615
"Loudoun County, NOVA","Maryland, DC",PM,US-50-EB,0.5444371960924612,0.5861406554227564
"Loudoun County, NOVA","Maryland, DC",PM,US-50-EB-TZ1-2_I-66-EB-TZ3-4,3.223239420681251,0.0012674956308447172
"Loudoun County, NOVA","Maryland, DC",PM,I-66-WB,0.4046685644256553,0.6857211521548776
"Loudoun County, NOVA","Tysons, DC",AM,I-66-EB,1.0612464535769213,0.28857791324739135
"Loudoun County, NOVA","Tysons, DC",AM,US-29-NB,0.9545571591958486,0.33980169066041466
"Loudoun County, NOVA","Tysons, DC",AM,US-50-EB,0.9545571591958486,0.33980169066041466
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",AM,US-29-NB,1.023239071800216,0.3061948234432763
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",AM,US-50-EB,2.973242221700462,0.0029467180775313295
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",AM,I-66-EB,0.6173003119842376,0.5370366610960999
"Loudoun County, NOVA","Fort Hunt and Belvoir, DC",PM,I-66-WB,0.97735331864505,0.3283942650504357
"Loudoun County, NOVA","Springfield, DC",AM,US-50-EB,0.5605649135338973,0.5750941758974975
"Loudoun County, NOVA","Springfield, DC",AM,US-29-NB,0.04166687880954781,0.9667642579006126
"Loudoun County, NOVA","Springfield, DC",AM,I-66-EB,1.406515470597719,0.15957111397043833
"Loudoun County, NOVA","Springfield, DC",AM,I-66-EB-TZ1_US-29-NB-TZ2-3-4,4.122518668093122,3.747522298436223e-05
"Loudoun County, NOVA","Springfield, DC",PM,I-66-EB,0.9710129430713446,0.3315418333338962
"Loudoun County, NOVA","Annandale, DC",AM,US-50-EB,0.06403209841577855,0.9489446684025784
"Loudoun County, NOVA","Annandale, DC",AM,I-66-EB,0.031997935458655515,0.9744736973211581
"Faquire, NOVA","Alexandria, DC",AM,I-66-EB,0.959637756533232,0.33723755967040514
"Faquire, NOVA","Maryland, DC",AM,I-66-EB,0.8287309614660923,0.40725666185049514
"Faquire, NOVA","Maryland, DC",AM,US-50-EB,1.0920339050825354,0.274818198767826
"Faquire, NOVA","Maryland, DC",AM,US-29-NB,1.0920339050825354,0.274818198767826
"Faquire, NOVA","Tysons, DC",AM,I-66-EB,1.308601086983114,0.19066951253918596
"Prince William, NOVA","Capital Hill, DC",AM,US-50-EB,1.6383099786742352,0.10135704713358296
