origin,destination,period,path,zscore,pvalue
"Loudoun County, NOVA","Capital Hill, DC",AM,US-50-EB,2.6543312176339624,0.007946578294858897
"Loudoun County, NOVA","Capital Hill, DC",AM,I-66-EB,0.8843376947788569,0.3765139456187363
"Loudoun County, NOVA","Capital Hill, DC",AM,I-66-WB,25.531402234429272,0.0
"Loudoun County, NOVA","Capital Hill, DC",AM,US-29-NB,1.8702958820307696,0.061442741086011
"Loudoun County, NOVA","Capital Hill, DC",PM,I-66-WB,31.449085800889783,0.0
"Loudoun County, NOVA","Arlington, DC",AM,I-66-EB,0.5037343213213386,0.6144480867180584
"Loudoun County, NOVA","Arlington, DC",AM,US-50-EB,0.5738174963661692,0.5660913076896901
"Loudoun County, NOVA","Arlington, DC",AM,US-29-NB,1.6990015618592833,0.08931888933235377
"Loudoun County, NOVA","Arlington, DC",AM,I-66-WB-TZ4-3-2_US-50-WB-TZ1,1.9618745361816987,0.04977709309805656
"Loudoun County, NOVA","Arlington, DC",PM,I-66-WB,1.019528058148106,0.3079523396034747
"Loudoun County, NOVA","Arlington, DC",PM,US-29-SB,19.102444559181826,0.0
"Loudoun County, NOVA","Arlington, DC",PM,I-66-EB,1.3872031455685423,0.16537982655612704
"Loudoun County, NOVA","Alexandria, DC",AM,I-66-EB,3.3980907208276747,0.0006785791347156955
"Loudoun County, NOVA","Alexandria, DC",AM,US-50-EB,0.024766906517804554,0.9802408877300304
"Loudoun County, NOVA","Alexandria, DC",AM,US-29-NB,1.010202805758851,0.31239813530948557
"Loudoun County, NOVA","Alexandria, DC",PM,I-66-EB,1.010202805758851,0.31239813530948557
"Loudoun County, NOVA","Alexandria, DC",PM,I-66-WB,1.010202805758851,0.31239813530948557
"Loudoun County, NOVA","Maryland, DC",AM,I-66-EB,3.1730321704557927,0.0015085580769396145
"Loudoun County, NOVA","Maryland, DC",AM,US-50-EB,1.5048022833901675,0.13237491654555833
"Loudoun County, NOVA","Maryland, DC",AM,I-66-WB,2.576839966994274,0.00997081014896306
"Loudoun County, NOVA","Maryland, DC",AM,US-29-NB,1.5866168746253047,0.11259944321985782
"Loudoun County, NOVA","Maryland, DC",AM,US-50-WB,4.449888652656767,8.591482109965298e-06
"Loudoun County, NOVA","Maryland, DC",AM,US-29-NB-TZ1_I-66-EB-TZ2-3-4,2.6967315189958048,0.0070023702067025795
"Loudoun County, NOVA","Maryland, DC",AM,I-66-EB-TZ1-2-3_US-29-NB-TZ4,0.25683516262396505,0.7973060244792642
"Loudoun County, NOVA","Maryland, DC",AM,I-66-EB-TZ1-2_US-29-NB-TZ3-4,4.993628958833005,5.92551875566727e-07
"Loudoun County, NOVA","Maryland, DC",AM,US-50-EB-TZ1-2_I-66-EB-TZ3-4,0.9811188984124452,0.32653411197486615
"Loudoun County, NOVA","Maryland, DC",PM,US-50-WB,1.0192505203251814,0.30808404776912157
"Loudoun County, NOVA","Maryland, DC",PM,I-66-EB,0.02696320861689906,0.9784890786254967
"Loudoun County, NOVA","Maryland, DC",PM,US-50-EB,0.5444371960924612,0.5861406554227564
