Index,NodeType,Latitude,Longitude,InterestCount%,AM%,PM%
0,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
0,Destination,39.11,-77.284,0.000000,0.000000,0.000000
1,Origin,39.0646,-78.65719,0.001782,0.002332,0.000000
1,Destination,38.92981981981982,-77.01881603757707,0.001782,0.002332,0.000000
2,Origin,39.0646,-77.07157583122863,0.014104,0.013797,0.014996
2,Destination,38.92981981981982,-77.284,0.014104,0.013797,0.014996
3,Origin,38.92981981981982,-77.284,0.006045,0.003887,0.007248
3,Destination,37.98351891891892,-75.39570264862486,0.006045,0.003887,0.007248
4,Origin,38.74963963963964,-76.75116594155521,0.002170,0.001555,0.000500
4,Destination,36.90243783783784,-75.3001552409644,0.002170,0.001555,0.000500
5,Origin,36.90243783783784,-76.9786726204822,0.000077,0.000194,0.000000
5,Destination,38.74963963963964,-76.75116594155521,0.000077,0.000194,0.000000
6,Origin,38.74963963963964,-76.75116594155521,0.013329,0.016518,0.013747
6,Destination,36.90243783783784,-78.65719,0.013329,0.016518,0.013747
7,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
7,Destination,38.92981981981982,-76.75363207515413,0.000000,0.000000,0.000000
8,Origin,38.92981981981982,-76.75363207515413,0.033865,0.037311,0.048488
8,Destination,37.98351891891892,-78.65719,0.033865,0.037311,0.048488
9,Origin,39.11,-76.75607548574631,0.005735,0.006024,0.003249
9,Destination,39.0646,-77.07157583122863,0.005735,0.006024,0.003249
10,Origin,36.90243783783784,-78.65719,0.000077,0.000194,0.000000
10,Destination,39.11,-76.75607548574631,0.000077,0.000194,0.000000
11,Origin,38.92981981981982,-76.75363207515413,0.010152,0.004664,0.009998
11,Destination,36.90243783783784,-76.9786726204822,0.010152,0.004664,0.009998
12,Origin,39.11,-76.75607548574631,0.002325,0.000583,0.002749
12,Destination,36.90243783783784,-75.3001552409644,0.002325,0.000583,0.002749
13,Origin,38.92981981981982,-76.75363207515413,0.002480,0.000972,0.002249
13,Destination,37.98351891891892,-77.02644632431243,0.002480,0.000972,0.002249
14,Origin,39.11,-77.02003774287316,0.003797,0.002138,0.001500
14,Destination,36.90243783783784,-75.3001552409644,0.003797,0.002138,0.001500
15,Origin,38.74963963963964,-77.284,0.004340,0.002526,0.001750
15,Destination,37.98351891891892,-75.39570264862486,0.004340,0.002526,0.001750
16,Origin,39.11,-77.02003774287316,0.008757,0.007579,0.010247
16,Destination,39.0646,-75.48596166245726,0.008757,0.007579,0.010247
17,Origin,39.11,-77.284,0.003487,0.001749,0.002000
17,Destination,37.98351891891892,-78.65719,0.003487,0.001749,0.002000
18,Origin,38.92981981981982,-77.284,0.003255,0.001943,0.000750
18,Destination,36.90243783783784,-75.3001552409644,0.003255,0.001943,0.000750
19,Origin,38.74963963963964,-77.01758297077761,0.008679,0.006996,0.006998
19,Destination,37.98351891891892,-77.02644632431243,0.008679,0.006996,0.006998
20,Origin,39.0646,-77.07157583122863,0.005812,0.004664,0.003999
20,Destination,38.74963963963964,-77.01758297077761,0.005812,0.004664,0.003999
21,Origin,39.11,-77.284,0.003565,0.003498,0.000500
21,Destination,39.0646,-75.48596166245726,0.003565,0.003498,0.000500
22,Origin,39.11,-76.75607548574631,0.003177,0.001749,0.002000
22,Destination,39.0646,-75.48596166245726,0.003177,0.001749,0.002000
23,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
23,Destination,38.74963963963964,-77.284,0.000000,0.000000,0.000000
24,Origin,37.98351891891892,-78.65719,0.000542,0.000194,0.000250
