Point Attribute,Lat,Long,ID,Total Percent,AM Percent,PM Percent
Origin,36.90243783783784,-78.65719,0,3.392,3.963,2.578
Destination,39.11,-77.284,0,3.392,3.963,2.578
Origin,39.0646,-78.65719,1,0.000,0.000,0.000
Destination,38.92981981981982,-77.01881603757707,1,0.000,0.000,0.000
Origin,39.0646,-77.07157583122863,2,0.014,0.014,0.014
Destination,38.92981981981982,-77.284,2,0.014,0.014,0.014
Origin,38.92981981981982,-77.284,3,0.006,0.006,0.006
Destination,37.98351891891892,-75.39570264862486,3,0.006,0.006,0.006
Origin,38.74963963963964,-76.75116594155521,4,0.002,0.002,0.002
Destination,36.90243783783784,-75.3001552409644,4,0.002,0.002,0.002
Origin,36.90243783783784,-76.9786726204822,5,0.000,0.000,0.000
Destination,38.74963963963964,-76.75116594155521,5,0.000,0.000,0.000
Origin,38.74963963963964,-76.75116594155521,6,0.011,0.011,0.011
Destination,36.90243783783784,-78.65719,6,0.011,0.011,0.011
Origin,36.90243783783784,-75.3001552409644,7,1.233,1.060,5.690
Destination,38.92981981981982,-76.75363207515413,7,1.233,1.060,5.690
Origin,38.92981981981982,-76.75363207515413,8,0.031,0.031,0.032
Destination,37.98351891891892,-78.65719,8,0.031,0.031,0.032
Origin,39.11,-76.75607548574631,9,0.005,0.005,0.005
Destination,39.0646,-77.07157583122863,9,0.005,0.005,0.005
Origin,36.90243783783784,-78.65719,10,7.301,9.149,5.993
Destination,39.11,-76.75607548574631,10,7.301,9.149,5.993
Origin,38.92981981981982,-76.75363207515413,11,0.011,0.011,0.011
Destination,36.90243783783784,-76.9786726204822,11,0.011,0.011,0.011
Origin,39.11,-76.75607548574631,12,0.002,0.002,0.002
Destination,36.90243783783784,-75.3001552409644,12,0.002,0.002,0.002
Origin,38.92981981981982,-76.75363207515413,13,0.002,0.002,0.002
Destination,37.98351891891892,-77.02644632431243,13,0.002,0.002,0.002
Origin,39.11,-77.02003774287316,14,0.003,0.003,0.003
Destination,36.90243783783784,-75.3001552409644,14,0.003,0.003,0.003
Origin,38.74963963963964,-77.284,15,0.004,0.004,0.004
Destination,37.98351891891892,-75.39570264862486,15,0.004,0.004,0.004
Origin,39.11,-77.02003774287316,16,0.008,0.008,0.008
Destination,39.0646,-75.48596166245726,16,0.008,0.008,0.008
Origin,39.11,-77.284,17,0.002,0.002,0.002
Destination,37.98351891891892,-78.65719,17,0.002,0.002,0.002
Origin,38.92981981981982,-77.284,18,0.003,0.003,0.003
Destination,36.90243783783784,-75.3001552409644,18,0.003,0.003,0.003
Origin,38.74963963963964,-77.01758297077761,19,0.008,0.008,0.008
Destination,37.98351891891892,-77.02644632431243,19,0.008,0.008,0.008
Origin,39.0646,-77.07157583122863,20,0.005,0.005,0.005
Destination,38.74963963963964,-77.01758297077761,20,0.005,0.005,0.005
Origin,39.11,-77.284,21,0.002,0.002,0.002
Destination,39.0646,-75.48596166245726,21,0.002,0.002,0.002
Origin,39.11,-76.75607548574631,22,0.002,0.002,0.002
Destination,39.0646,-75.48596166245726,22,0.002,0.002,0.002
Origin,36.90243783783784,-78.65719,23,7.709,9.080,6.775
Destination,38.74963963963964,-77.284,23,7.709,9.080,6.775
Origin,37.98351891891892,-78.65719,24,0.000,0.000,0.000
Destination,38.74963963963964,-76.75116594155521,24,0.000,0.000,0.000
Origin,37.98351891891892,-77.02644632431243,25,0.006,0.007,0.005
Destination,38.92981981981982,-77.01881603757707,25,0.006,0.007,0.005
Origin,36.90243783783784,-75.3001552409644,26,6.644,9.034,4.890
Destination,39.11,-77.284,26,6.644,9.034,4.890
Origin,37.98351891891892,-78.65719,27,3.362,4.793,1.813
Destination,39.11,-77.02003774287316,27,3.362,4.793,1.813
Origin,39.11,-77.284,28,0.025,0.025,0.026
Destination,37.98351891891892,-77.02644632431243,28,0.025,0.025,0.026
Origin,37.98351891891892,-75.39570264862486,29,7.699,0.000,4.837
Destination,38.74963963963964,-77.01758297077761,29,7.699,0.000,4.837
Origin,38.74963963963964,-77.284,30,0.011,0.011,0.012
Destination,37.98351891891892,-77.02644632431243,30,0.011,0.011,0.012
Origin,37.98351891891892,-75.39570264862486,31,5.471,4.378,3.912
Destination,39.11,-77.02003774287316,31,5.471,4.378,3.912
Origin,38.74963963963964,-77.01758297077761,32,0.020,0.020,0.020
Destination,39.0646,-75.48596166245726,32,0.020,0.020,0.020
Origin,36.90243783783784,-76.9786726204822,33,0.000,0.000,0.000
Destination,38.92981981981982,-77.01881603757707,33,0.000,0.000,0.000
Origin,39.11,-76.75607548574631,34,0.005,0.005,0.005
Destination,39.0646,-78.65719,34,0.005,0.005,0.005
Origin,36.90243783783784,-76.9786726204822,35,5.660,7.167,4.552
Destination,38.92981981981982,-77.284,35,5.660,7.167,4.552
Origin,36.90243783783784,-76.9786726204822,36,0.000,0.000,8.500
Destination,39.11,-76.75607548574631,36,0.000,0.000,8.500
Origin,39.11,-77.02003774287316,37,0.022,0.022,0.023
Destination,36.90243783783784,-78.65719,37,0.022,0.022,0.023
Origin,38.74963963963964,-77.284,38,0.003,0.003,0.003
Destination,36.90243783783784,-78.65719,38,0.003,0.003,0.003
Origin,37.98351891891892,-75.39570264862486,39,1.462,1.774,8.358
Destination,39.11,-77.284,39,1.462,1.774,8.358
Origin,38.74963963963964,-77.01758297077761,40,0.011,0.011,0.011
Destination,39.0646,-78.65719,40,0.011,0.011,0.011
Origin,36.90243783783784,-75.3001552409644,41,1.382,1.152,1.084
Destination,38.74963963963964,-77.284,41,1.382,1.152,1.084
Origin,38.92981981981982,-77.01881603757707,42,0.005,0.005,0.005
Destination,36.90243783783784,-75.3001552409644,42,0.005,0.005,0.005
Origin,38.92981981981982,-77.01881603757707,43,0.005,0.005,0.005
Destination,39.0646,-78.65719,43,0.005,0.005,0.005
Origin,38.74963963963964,-76.75116594155521,44,0.002,0.002,0.002
Destination,37.98351891891892,-78.65719,44,0.002,0.002,0.002
Origin,38.74963963963964,-76.75116594155521,45,0.011,0.011,0.011
Destination,37.98351891891892,-77.02644632431243,45,0.011,0.011,0.011
Origin,39.0646,-78.65719,46,0.000,0.000,0.000
Destination,39.11,-77.02003774287316,46,0.000,0.000,0.000
Origin,39.0646,-78.65719,47,3.352,4.332,2.560
Destination,38.92981981981982,-77.284,47,3.352,4.332,2.560
Origin,39.0646,-78.65719,48,3.352,4.471,2.347
Destination,39.11,-76.75607548574631,48,3.352,4.471,2.347
Origin,36.90243783783784,-75.3001552409644,49,2.457,2.673,1.636
Destination,38.92981981981982,-77.01881603757707,49,2.457,2.673,1.636
Origin,39.11,-76.75607548574631,50,0.016,0.016,0.017
Destination,36.90243783783784,-78.65719,50,0.016,0.016,0.017
Origin,38.74963963963964,-77.01758297077761,51,0.006,0.006,0.006
Destination,37.98351891891892,-78.65719,51,0.006,0.006,0.006
Origin,38.74963963963964,-77.284,52,0.002,0.003,0.003
Destination,39.0646,-75.48596166245726,52,0.002,0.003,0.003
Origin,38.92981981981982,-77.01881603757707,53,0.002,0.002,0.002
Destination,36.90243783783784,-76.9786726204822,53,0.002,0.002,0.002
Origin,36.90243783783784,-78.65719,54,0.000,0.000,0.000
Destination,38.92981981981982,-77.284,54,0.000,0.000,0.000
