FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,Lanes,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegIDnum
6029, , 1310231369,  1310403877,   1310261307,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.21004831774368,             4.000,              0, ,                I 495,                 38.92986,                  -77.21114,                   38.93265,                    -77.20957,                     N,                      1940436,                       4326,1310231369
11589, , 1310261307,  1310231369,   1310567213,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.34567500782152,             4.000,              0, ,                I 495,                 38.93265,                  -77.20957,                   38.93724,                    -77.20703,                     N,                      1940436,                       4326,1310261307
11954, , 1310263171,  1310370202,   1310505117,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.37433264719656,             4.000,              0, ,                I 495,                 38.9162,                  -77.21729,                   38.92151,                    -77.21593,                     N,                      1940436,                       4326,1310263171
12066, , 1310263844,  1310389567,   1310400660,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.15471521309608,             1.150,              0, ,                George Washington Memorial Parkway,                 38.9389,                  -77.13361,                   38.93676,                    -77.13442,                     S,                      1969300,                       4326,1310263844
16305, , 1310285905,  1310285938,   1310285916,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.12391384310864,             4.000,              0,               HOV,                I 495,                 38.92417,                  -77.21474,                   38.92581,                    -77.2138,                     N,                      1956538,                       4326,1310285905
18580, , 1310298177,  1310466600,   1310365816,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.513563290188,             4.000,              0, ,                I 495,                 38.95724,                  -77.1925,                   38.9623,                    -77.18606,                     N,                      238908,                       4326,1310298177
23117, , 1310323648,  1310520089,   1310389567,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.13691292844528,             2.000,              0, ,                George Washington Memorial Parkway,                 38.94122,                  -77.13419,                   38.93935,                    -77.13351,                     S,                      1969300,                       4326,1310323648
29871, , 1310365779,  1310365844,   1310520376,    0, ,      George Washington Memorial Parkway, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.15510667694704,             2.000,              0, ,                George Washington Memorial Parkway,                 38.96344,                  -77.17854,                   38.96408,                    -77.17578,                     E,                      2059992,                       4326,1310365779
29873, , 1310365792, , ,    0, , , ,        United States of America,         Virginia,          Fairfax,           McLean,            0.41542392412352,             1.000,              1, , ,                 38.9623,                  -77.18606,                   38.96344,                    -77.17854,                     E,                      2060004,                       4326,1310365792
30619, , 1310370202,  1310438011,   1310263171,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.17531366811088,             4.355,              0, ,                I 495,                 38.91531,                  -77.21739,                   38.91783,                    -77.21698,                     N,                      1940436,                       4326,1310370202
