FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegID_nu
292,8804220, 1310217686,  1310361713,   1310564327,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.31617230362536,             0, ,               I 495,                38.95615,                 -77.19324,                  38.95215,                   -77.19602,                    S,                     1251571,                      4326,1310217686
3016,8812657, 1310230148,  1310303619,   1310516321,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,            0.23443713702968,             0, ,               I 66,                38.88630,                 -77.22163,                  38.88471,                   -77.22548,                    W,                     1256498,                      4326,1310230148
7429,8826786, 1310250883,  1310596859,   1310259735,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.05514669329,             0, ,               VA 7,                38.90929,                 -77.21581,                  38.90883,                   -77.21497,                    E,                     1256705,                      4326,1310250883
9373,8832858, 1310259735,  1310250883,   1310262366,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.0215615803624,             0, ,               VA 7,                38.90883,                 -77.21497,                  38.90866,                   -77.21464,                    E,                     1256705,                      4326,1310259735
9965,8834770, 1310262366,  1310259735,   1310272740,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.78644466286672,             0, ,               VA 7,                38.90866,                 -77.21464,                  38.90256,                   -77.20285,                    E,                     1256705,                      4326,1310262366
10331,8835883, 1310264131, ,   1310573949,    0, , , ,        United States of America,         Virginia,          Fairfax, ,            0.17543794234928,             1, , ,                38.91605,                 -77.21794,                  38.91357,                   -77.21856,                    S,                     1297884,                      4326,1310264131
12221,8841781, 1310272740,  1310262366,   1310580732,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.21531754545184,             0, ,               VA 7,                38.90256,                 -77.20285,                  38.90061,                   -77.19974,                    E,                     1256705,                      4326,1310272740
12227,8841807, 1310272772,  1310398072,   1310596870,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,            0.13286780198536,             0, ,               VA 7,                38.91078,                 -77.21858,                  38.90969,                   -77.21655,                    E,                     1264540,                      4326,1310272772
14608,8849293, 1310283350,  1310361688,   1310564575,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.50646723117536,             0, ,               I 495,                38.93314,                 -77.21207,                  38.92631,                   -77.21447,                    S,                     1256315,                      4326,1310283350
16213,8854483, 1310290558,  1310516321,   1310290543,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,            0.44435496682304,             0, ,               I 66,                38.88333,                 -77.22878,                  38.88093,                   -77.23644,                    W,                     1256498,                      4326,1310290558
18973,8863497, 1310303619,  1310388956,   1310230148,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.24428587042288,             0, ,               I 66,                38.88787,                 -77.21756,                  38.88630,                   -77.22163,                    W,                     1256498,                      4326,1310303619
19124,8864095, 1310304447,  1310329568, ,    0, , , ,        United States of America,         Virginia,          Fairfax,           McLean,            0.12946890156512,             1, , ,                38.95798,                 -77.19270,                  38.95616,                   -77.19328,                    S,                     1338103,                      4326,1310304447
22506,8875642, 1310320266,  1310520356, ,    0, , , ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.23305147927152,             1, ,               I 66,                38.89956,                 -77.19905,                  38.89668,                   -77.20106,                    S,                     1353874,                      4326,1310320266
24356,8882388, 1310329568,  1310574103,   1310304447,    0, , , ,        United States of America,         Virginia,          Fairfax,           McLean,            0.33452139492512,             1, , ,                38.96155,                 -77.18879,                  38.95798,                   -77.19270,                    S,                     1363149,                      4326,1310329568
26562,8890492, 1310341839,  1310361860,   1310361869,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.2072583610916,             0, ,               I 495,                38.92070,                 -77.21704,                  38.91773,                   -77.21761,                    S,                     1256315,                      4326,1310341839
30156,8903778, 1310361688,  1310361728,   1310283350,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.11632690085432,             0, ,               I 495,                38.93423,                 -77.21042,                  38.93314,                   -77.21207,                    W,                     1256315,                      4326,1310361688
30159,8903787, 1310361702,  1310564575,   1310361860,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.20268506911848,             0, ,               I 495,                38.92474,                 -77.21511,                  38.92204,                   -77.21657,                    S,                     1256315,                      4326,1310361702
30163,8903803, 1310361728,  1310564327,   1310361688,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.60082244668056,             0, ,               I 495,                38.94182,                 -77.20511,                  38.93423,                   -77.21042,                    S,                     1256315,                      4326,1310361728
30182,8903886, 1310361860,  1310361702,   1310341839,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.09605155885936,             0, ,               I 495,                38.92204,                 -77.21657,                  38.92070,                   -77.21704,                    S,                     1256315,                      4326,1310361860
30184,8903892, 1310361869,  1310341839,   1310361832,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.1178741151224,             0, ,               I 495,                38.91773,                 -77.21761,                  38.91604,                   -77.21786,                    S,                     1256315,                      4326,1310361869
33697,8917148, 1310380929,  1310498047,   1310517267,    0, , , ,        United States of America,         Virginia,          Fairfax, ,            0.11555640057624,             1, , ,                38.91204,                 -77.21849,                  38.91038,                   -77.21834,                    S,                     1414341,                      4326,1310380929
35156,8922597, 1310388956,  1310390082,   1310303619,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.27089919857624,             0, ,               I 66,                38.88973,                 -77.21315,                  38.88787,                   -77.21756,                    W,                     1256498,                      4326,1310388956
35404,8923450, 1310390082,  1310476018,   1310388956,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.80811809004368,             0, ,               I 66,                38.89668,                 -77.20106,                  38.88973,                   -77.21315,                    W,                     1256498,                      4326,1310390082
59144,9011604, 1310516321,  1310230148,   1310290558,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,            0.19696224044016,             0, ,               I 66,                38.88471,                 -77.22548,                  38.88335,                   -77.22870,                    W,                     1256498,                      4326,1310516321
59338,9012304, 1310517267,  1310380929, ,    0, , , ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,            0.22455112136496,             1, ,               VA 7,                38.91038,                 -77.21834,                  38.91070,                   -77.21842,                    N,                     1550265,                      4326,1310517267
59929,9014486, 1310520356, ,   1310320266,    0, , , ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.08673720469128,             1, ,               VA 7,                38.90061,                 -77.19974,                  38.89956,                   -77.19905,                    S,                     1553352,                      4326,1310520356
68304,9044434, 1310564327,  1310217686,   1310361728,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.87293953279312,             0, ,               I 495,                38.95215,                 -77.19602,                  38.94182,                   -77.20512,                    S,                     1251571,                      4326,1310564327
68343,9044597, 1310564575,  1310283350,   1310361702,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.1142701622088,             0, ,               I 495,                38.92631,                 -77.21447,                  38.92474,                   -77.21511,                    S,                     1256315,                      4326,1310564575
70080,9050903, 1310573949,  1310264131, ,    0, , , ,        United States of America,         Virginia,          Fairfax, ,            0.10097903241192,             1, , ,                38.91356,                 -77.21856,                  38.91213,                   -77.21852,                    S,                     1606775,                      4326,1310573949
70110,9051009, 1310574103, ,   1310329568,    0, , , ,        United States of America,         Virginia,          Fairfax,           McLean,            0.83224593342904,             1, , ,                38.96422,                 -77.17589,                  38.96147,                   -77.18899,                    W,                     1606929,                      4326,1310574103
74654,9066594, 1310596859,  1310596870,   1310250883,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.03676031971872,             0, ,               VA 7,                38.90964,                 -77.21646,                  38.90934,                   -77.21589,                    E,                     1264540,                      4326,1310596859
