FID,OID_1,XDSegID,PreviousXD,NextXDSegI,FRC,RoadNumber,RoadName,LinearID,Country,State,County,District,Miles,Lanes,SlipRoad,SpecialRoa,RoadList,StartLat,StartLong,EndLat,EndLong,Bearing,XDGroup,ShapeSRID,XDSegIDnum
2656, , 135583676, ,   1310573949,    0, , , ,        United States of America,         Virginia,          Fairfax, ,            0.19595561910912,             1.000,              1, , ,                 38.91651,                  -77.21781,                   38.91373,                    -77.21849,                     S,                      273806,                       4326,135583676
3470, , 1310217686,  1310361713,   1310564327,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.27543520827784,             4.000,              0, ,                I 495,                 38.95589,                  -77.19336,                   38.95239,                    -77.19577,                     S,                      246460,                       4326,1310217686
5813, , 1310230148,  1310353615, ,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,            0.25763292362704,             3.000,              0, ,                I 66,                 38.88645,                  -77.22125,                   38.88471,                    -77.22548,                     W,                      260459,                       4326,1310230148
9602, , 1310250883,  1310596859,   1310259735,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.05514669329,             2.000,              0, ,                VA 7,                 38.90929,                  -77.21581,                   38.90883,                    -77.21497,                     E,                      1932822,                       4326,1310250883
11294, , 1310259735,  1310250883,   1310262366,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.0215615803624,             2.000,              0, ,                VA 7,                 38.90883,                  -77.21497,                   38.90866,                    -77.21464,                     E,                      1932822,                       4326,1310259735
11809, , 1310262366,  1310259735,   1310272740,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.47180093237368,             2.171,              0, ,                VA 7,                 38.90866,                  -77.21464,                   38.90601,                    -77.20665,                     E,                      1932822,                       4326,1310262366
13783, , 1310272740,  1310262366,   1310580732,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.52996127594488,             2.368,              0, ,                VA 7,                 38.90601,                  -77.20665,                   38.90061,                    -77.19974,                     S,                      1932822,                       4326,1310272740
13789, , 1310272772,  1310398072,   1310596870,    0,     7,      VA 7, ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,            0.13286780198536,             2.000,              0, ,                VA 7,                 38.91078,                  -77.21858,                   38.90969,                    -77.21655,                     E,                      269456,                       4326,1310272772
15801, , 1310283350,  1310361688,   1310564575,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.4592865165668,             4.000,              0, ,                I 495,                 38.93265,                  -77.21268,                   38.92631,                    -77.21447,                     S,                      1932475,                       4326,1310283350
17188, , 1310290558,  1310516321,   1310290543,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,            0.44901525076304,             3.000,              0, ,                I 66,                 38.88335,                  -77.2287,                   38.88093,                    -77.23644,                     W,                      260459,                       4326,1310290558
19563, , 1310303619,  1310534744, ,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.20537560637984,             2.758,              0, ,                I 66,                 38.88778,                  -77.21783,                   38.88645,                    -77.22125,                     W,                      260459,                       4326,1310303619
19693, , 1310304447,  1310329568, ,    0, , , ,        United States of America,         Virginia,          Fairfax,           McLean,            0.1595991906652,             1.000,              1, , ,                 38.95813,                  -77.19265,                   38.95589,                    -77.19336,                     S,                      2005445,                       4326,1310304447
22591, , 1310320266, , ,    0, , , ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.21861081276944,             1.000,              1, , ,                 38.89936,                  -77.1991,                   38.89668,                    -77.20106,                     S,                      2019491,                       4326,1310320266
24170, , 1310329568,  1310574103,   1310304447,    0, , , ,        United States of America,         Virginia,          Fairfax,           McLean,            0.32324972150224,             1.000,              1, , ,                 38.96155,                  -77.18879,                   38.95813,                    -77.19265,                     S,                      2027773,                       4326,1310329568
26098, , 1310341839,  1310361860,   1310361869,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.1860385348848,             4.000,              0, ,                I 495,                 38.9204,                  -77.21712,                   38.91773,                    -77.21761,                     S,                      1932475,                       4326,1310341839
29238, , 1310361688,  1310361728,   1310283350,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.28022598016816,             4.000,              0, ,                I 495,                 38.93551,                  -77.20901,                   38.93265,                    -77.21268,                     S,                      1932475,                       4326,1310361688
29243, , 1310361702,  1310564575,   1310361860,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.23629503689376,             4.000,              0, ,                I 495,                 38.92496,                  -77.21498,                   38.9218,                    -77.21667,                     S,                      1932475,                       4326,1310361702
29248, , 1310361728,  1310564327,   1310361688,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax,           McLean,            0.58404542449656,             4.000,              0, ,                I 495,                 38.94161,                  -77.20525,                   38.93423,                    -77.21042,                     S,                      1932475,                       4326,1310361728
29266, , 1310361860,  1310361702,   1310341839,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.10003454820008,             5.000,              0, ,                I 495,                 38.9218,                  -77.21667,                   38.9204,                    -77.21712,                     S,                      1932475,                       4326,1310361860
29267, , 1310361869,  1310341839,   1310361832,    0,     495,      I 495, ,        United States of America,         Virginia,          Fairfax, ,            0.08525834125432,             5.000,              0, ,                I 495,                 38.91773,                  -77.21761,                   38.91651,                    -77.21781,                     S,                      1932475,                       4326,1310361869
32276, , 1310380929,  1310573949,   1310517279,    0, , , ,        United States of America,         Virginia,          Fairfax, ,            0.12916442968104,             1.000,              1, , ,                 38.91204,                  -77.21849,                   38.91018,                    -77.21833,                     S,                      2073401,                       4326,1310380929
33545, , 1310388956,  1310390082, ,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.28660746231,             2.000,              0, ,                I 66,                 38.88973,                  -77.21315,                   38.88778,                    -77.21783,                     W,                      260459,                       4326,1310388956
33776, , 1310390082,  1310476018,   1310388956,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.80811809004368,             2.000,              0, ,                I 66,                 38.89668,                  -77.20106,                   38.88973,                    -77.21315,                     W,                      260459,                       4326,1310390082
54343, , 1310516321,  1310407314,   1310290558,    0,     66,      I 66, ,        United States of America,         Virginia,          Fairfax,           Merrifield,            0.19696224044016,             3.000,              0, ,                I 66,                 38.88471,                  -77.22548,                   38.88335,                    -77.2287,                     W,                      260459,                       4326,1310516321
54499, , 1310517267, , ,    0, , , ,        United States of America,         Virginia,          Fairfax,           Dunn Loring,            0.20091416122128,             1.000,              1, , ,                 38.91018,                  -77.21833,                   38.91078,                    -77.21858,                     N,                      2193358,                       4326,1310517267
55008, , 1310520356,  1310580732,   1310320231,    0, , , ,        United States of America,         Virginia,          Fairfax,           Idylwood,            0.10117165748144,             1.201,              1, ,                VA 7,                 38.90061,                  -77.19974,                   38.89936,                    -77.1991,                     S,                      2196106,                       4326,1310520356
