Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%,total percent,Ranking
1344,Origin,TRUE,38.8415898,-77.05426254,0.016698,0.015985,0.01721,0.008,1
1344,Destination,TRUE,38.92981982,-77.01881604,0.016698,0.015985,0.01721,0.017,
1989,Origin,TRUE,38.89072985,-77.05499526,0.012531,0.009532,0.014686,0.023,2
1989,Destination,TRUE,38.74963964,-76.75116594,0.012531,0.009532,0.014686,0.029,
798,Origin,TRUE,38.89072985,-77.05499526,0.011975,0.009687,0.013618,0.035,3
798,Destination,TRUE,38.92981982,-76.75363208,0.011975,0.009687,0.013618,0.041,
1448,Origin,TRUE,38.89072985,-77.12739085,0.01155,0.010804,0.012085,0.047,4
1448,Destination,TRUE,38.92981982,-77.01881604,0.01155,0.010804,0.012085,0.053,
1835,Origin,TRUE,38.8415898,-77.05426254,0.009835,0.00937,0.010169,0.058,5
1835,Destination,TRUE,39.11,-76.75607549,0.009835,0.00937,0.010169,0.063,
1460,Origin,TRUE,38.79244975,-77.05352796,0.00829,0.007868,0.008593,0.067,6
1460,Destination,TRUE,38.74963964,-76.75116594,0.00829,0.007868,0.008593,0.071,
1874,Origin,TRUE,38.89072985,-77.12739085,0.008125,0.007777,0.008375,0.075,7
1874,Destination,TRUE,38.92981982,-77.284,0.008125,0.007777,0.008375,0.079,
2235,Origin,TRUE,38.89072985,-77.05499526,0.007694,0.006131,0.008816,0.083,8
2235,Destination,TRUE,38.74963964,-77.284,0.007694,0.006131,0.008816,0.087,
81,Origin,TRUE,38.89072985,-77.12739085,0.007584,0.007283,0.0078,0.090,9
81,Destination,TRUE,39.11,-77.02003774,0.007584,0.007283,0.0078,0.094,
1207,Origin,TRUE,38.79244975,-77.12610696,0.007289,0.008108,0.0067,0.098,10
1207,Destination,TRUE,38.92981982,-76.75363208,0.007289,0.008108,0.0067,0.102,
1719,Origin,TRUE,38.69416966,-77.1975799,0.007002,0.008105,0.00621,0.105,11
1719,Destination,TRUE,38.74963964,-76.75116594,0.007002,0.008105,0.00621,0.109,
2123,Origin,TRUE,38.74330971,-77.19813363,0.006991,0.00776,0.006438,0.112,12
2123,Destination,TRUE,38.92981982,-76.75363208,0.006991,0.00776,0.006438,0.116,
2311,Origin,TRUE,38.9398699,-77.2003346,0.006969,0.005353,0.008129,0.119,13
2311,Destination,TRUE,39.11,-76.75607549,0.006969,0.005353,0.008129,0.123,
799,Origin,TRUE,38.8415898,-77.12674972,0.006819,0.006692,0.00691,0.126,14
