Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%
0,Origin,False,39.11,-77.02003774287316,0.000011,0.000015,0.000008
0,Destination,False,38.98900995085995,-77.34530758498981,0.000011,0.000015,0.000008
1,Origin,False,38.92981981981982,-77.01881603757707,0.000315,0.000268,0.000348
1,Destination,False,38.497609459459454,-76.90281136294878,0.000315,0.000268,0.000348
2,Origin,True,38.497609459459454,-77.48789027258975,0.000003,0.000005,0.000002
2,Destination,True,38.92981981981982,-77.284,0.000003,0.000005,0.000002
3,Origin,True,38.7433097051597,-77.41614681716534,0.000096,0.000117,0.000081
3,Destination,True,38.74963963963964,-77.284,0.000096,0.000117,0.000081
4,Origin,True,38.69416965601965,-77.48863329942368,0.000077,0.000102,0.000059
4,Destination,True,39.11,-76.75607548574631,0.000077,0.000102,0.000059
5,Origin,False,38.74963963963964,-77.01758297077761,0.000090,0.000105,0.000079
5,Destination,False,38.89072985257985,-77.27218203873996,0.000090,0.000105,0.000079
6,Origin,False,38.74963963963964,-77.284,0.000060,0.000068,0.000053
6,Destination,False,38.89072985257985,-77.27218203873996,0.000060,0.000068,0.000053
7,Origin,True,38.8415898034398,-77.27172408594001,0.001134,0.001118,0.001145
7,Destination,True,39.11,-77.284,0.001134,0.001118,0.001145
8,Origin,False,38.92981981981982,-76.75363207515413,0.000010,0.000016,0.000005
8,Destination,False,38.8415898034398,-76.90928817188002,0.000010,0.000016,0.000005
9,Origin,False,39.11,-76.75607548574631,0.000005,0.000006,0.000003
9,Destination,False,38.79244975429975,-77.12610696209285,0.000005,0.000006,0.000003
10,Origin,False,38.92981981981982,-77.284,0.000200,0.000185,0.000211
10,Destination,False,39.03815,-77.05718236744512,0.000200,0.000185,0.000211
11,Origin,False,38.92981981981982,-77.01881603757707,0.000362,0.000319,0.000393
11,Destination,False,38.8415898034398,-76.83680098906802,0.000362,0.000319,0.000393
12,Origin,True,38.497609459459454,-77.41475540888463,0.002304,0.002238,0.002352
12,Destination,True,38.92981981981982,-76.75363207515413,0.002304,0.002238,0.002352
13,Origin,True,38.69416965601965,-77.27034324855921,0.001709,0.001895,0.001575
13,Destination,True,38.92981981981982,-77.284,0.001709,0.001895,0.001575
14,Origin,True,38.546749508599504,-77.19591021914697,0.000011,0.000012,0.000010
14,Destination,True,38.74963963963964,-77.284,0.000011,0.000012,0.000010
15,Origin,False,39.11,-77.02003774287316,0.000002,0.000002,0.000001
15,Destination,False,38.9398699017199,-76.9111176714312,0.000002,0.000002,0.000001
16,Origin,False,38.92981981981982,-76.75363207515413,0.000002,0.000003,0.000001
16,Destination,False,38.595889557739554,-77.19646819607179,0.000002,0.000003,0.000001
17,Origin,True,38.595889557739554,-77.63416,0.000001,0.000001,0.000001
17,Destination,True,39.11,-77.02003774287316,0.000001,0.000001,0.000001
18,Origin,True,38.98900995085995,-77.20088137748472,0.001411,0.001704,0.001202
18,Destination,True,38.92981981981982,-77.01881603757707,0.001411,0.001704,0.001202
19,Origin,False,38.74963963963964,-77.284,0.000049,0.000050,0.000049
19,Destination,False,38.9398699017199,-77.34494306857248,0.000049,0.000050,0.000049
20,Origin,True,38.69416965601965,-77.56139664971184,0.000013,0.000013,0.000013
20,Destination,True,39.11,-77.02003774287316,0.000013,0.000013,0.000013
21,Origin,True,38.89072985257985,-77.48936881549598,0.000100,0.000133,0.000076
21,Destination,True,38.74963963963964,-76.75116594155521,0.000100,0.000133,0.000076
22,Origin,True,39.03815,-77.05718236744512,0.000111,0.000151,0.000081
22,Destination,True,39.11,-77.02003774287316,0.000111,0.000151,0.000081
23,Origin,True,38.7433097051597,-76.98012045149603,0.000036,0.000060,0.000020
23,Destination,True,38.74963963963964,-77.01758297077761,0.000036,0.000060,0.000020
24,Origin,True,39.03815,-77.05718236744512,0.000001,0.000002,0.000001
24,Destination,True,39.11,-77.284,0.000001,0.000002,0.000001
25,Origin,True,38.79244975429975,-76.90836994584693,0.000136,0.000169,0.000113
25,Destination,True,39.11,-76.75607548574631,0.000136,0.000169,0.000113
26,Origin,True,38.98900995085995,-76.91202896247454,0.000275,0.000347,0.000223
26,Destination,True,38.74963963963964,-77.01758297077761,0.000275,0.000347,0.000223
27,Origin,False,38.74963963963964,-77.01758297077761,0.000036,0.000038,0.000034
27,Destination,False,38.6450296068796,-77.26988062831474,0.000036,0.000038,0.000034
28,Origin,False,38.74963963963964,-76.75116594155521,0.000001,0.000003,0.000000
28,Destination,False,38.89072985257985,-77.34457763099196,0.000001,0.000003,0.000000
29,Origin,False,38.74963963963964,-77.01758297077761,0.000002,0.000002,0.000002
29,Destination,False,38.89072985257985,-76.91020407747992,0.000002,0.000002,0.000002
30,Origin,False,38.92981981981982,-77.01881603757707,0.000766,0.000660,0.000842
30,Destination,False,38.79244975429975,-77.34384397833877,0.000766,0.000660,0.000842
31,Origin,False,39.11,-76.75607548574631,0.000006,0.000006,0.000007
31,Destination,False,38.6450296068796,-77.12416887964064,0.000006,0.000006,0.000007
32,Origin,True,38.595889557739554,-77.63416,0.000000,0.000000,0.000000
32,Destination,True,38.74963963963964,-76.75116594155521,0.000000,0.000000,0.000000
33,Origin,True,38.8415898034398,-77.344211268752,0.000742,0.000661,0.000801
33,Destination,True,39.11,-76.75607548574631,0.000742,0.000661,0.000801
34,Origin,False,39.11,-77.284,0.000007,0.000014,0.000001
34,Destination,False,38.546749508599504,-77.26895184928914,0.000007,0.000014,0.000001
35,Origin,True,38.497609459459454,-77.04908109035902,0.000002,0.000002,0.000001
35,Destination,True,39.11,-77.02003774287316,0.000002,0.000002,0.000001
36,Origin,False,39.11,-76.75607548574631,0.000001,0.000001,0.000000
36,Destination,False,38.546749508599504,-77.1228685890048,0.000001,0.000001,0.000000
37,Origin,True,38.8415898034398,-76.83680098906802,0.000235,0.000389,0.000124
37,Destination,True,39.11,-77.02003774287316,0.000235,0.000389,0.000124
38,Origin,False,38.92981981981982,-76.75363207515413,0.000007,0.000012,0.000004
38,Destination,False,38.6450296068796,-77.05131300530358,0.000007,0.000012,0.000004
39,Origin,False,38.74963963963964,-77.01758297077761,0.000018,0.000025,0.000013
39,Destination,False,38.546749508599504,-77.63416,0.000018,0.000025,0.000013
40,Origin,True,39.03815,-76.98506016337576,0.000390,0.000520,0.000296
40,Destination,True,38.92981981981982,-77.284,0.000390,0.000520,0.000296
41,Origin,True,38.69416965601965,-77.41586994913553,0.000363,0.000447,0.000303
41,Destination,True,38.74963963963964,-76.75116594155521,0.000363,0.000447,0.000303
42,Origin,False,38.74963963963964,-77.284,0.000085,0.000094,0.000079
42,Destination,False,38.546749508599504,-76.97678532872045,0.000085,0.000094,0.000079
43,Origin,True,38.79244975429975,-76.98094895126223,0.000331,0.000393,0.000286
43,Destination,True,39.11,-77.284,0.000331,0.000393,0.000286
44,Origin,False,38.74963963963964,-76.75116594155521,0.000001,0.000001,0.000000
44,Destination,False,38.79244975429975,-76.83579094043162,0.000001,0.000001,0.000000
45,Origin,True,38.497609459459454,-77.48789027258975,0.000024,0.000024,0.000024
45,Destination,True,39.11,-77.284,0.000024,0.000024,0.000024
46,Origin,True,38.6450296068796,-77.56130412566294,0.000002,0.000004,0.000001
46,Destination,True,39.11,-77.284,0.000002,0.000004,0.000001
47,Origin,True,38.9398699017199,-76.98342190428808,0.000490,0.000652,0.000374
47,Destination,True,38.74963963963964,-76.75116594155521,0.000490,0.000652,0.000374
48,Origin,False,39.11,-77.284,0.000001,0.000002,0.000000
48,Destination,False,38.9398699017199,-77.34494306857248,0.000001,0.000002,0.000000
49,Origin,True,38.7433097051597,-76.90744939055115,0.000059,0.000083,0.000042
49,Destination,True,38.74963963963964,-77.01758297077761,0.000059,0.000083,0.000042
50,Origin,True,38.69416965601965,-77.63416,0.000002,0.000004,0.000001
50,Destination,True,38.92981981981982,-77.284,0.000002,0.000004,0.000001
51,Origin,True,38.98900995085995,-77.20088137748472,0.000106,0.000123,0.000093
51,Destination,True,38.92981981981982,-76.75363207515413,0.000106,0.000123,0.000093
52,Origin,True,38.546749508599504,-77.1228685890048,0.000005,0.000008,0.000002
52,Destination,True,39.11,-76.75607548574631,0.000005,0.000008,0.000002
53,Origin,True,39.03815,-77.20142677558384,0.000095,0.000142,0.000061
53,Destination,True,39.11,-76.75607548574631,0.000095,0.000142,0.000061
54,Origin,False,38.92981981981982,-77.284,0.000374,0.000322,0.000412
54,Destination,False,38.6450296068796,-77.34273650265179,0.000374,0.000322,0.000412
55,Origin,False,39.11,-77.02003774287316,0.000009,0.000013,0.000006
55,Destination,False,38.6450296068796,-76.97845713096653,0.000009,0.000013,0.000006
56,Origin,False,38.92981981981982,-77.284,0.000016,0.000013,0.000019
56,Destination,False,38.89072985257985,-76.91020407747992,0.000016,0.000013,0.000019
57,Origin,True,38.89072985257985,-77.05499526198393,0.006067,0.004935,0.006881
57,Destination,True,38.92981981981982,-77.01881603757707,0.006067,0.004935,0.006881
58,Origin,False,38.92981981981982,-77.284,0.000011,0.000008,0.000013
58,Destination,False,38.8415898034398,-77.561672817188,0.000011,0.000008,0.000013
59,Origin,True,38.595889557739554,-76.90467366011966,0.000173,0.000304,0.000080
59,Destination,True,38.74963963963964,-77.284,0.000173,0.000304,0.000080
60,Origin,False,38.92981981981982,-76.75363207515413,0.000004,0.000009,0.000001
60,Destination,False,38.8415898034398,-77.12674972031601,0.000004,0.000009,0.000001
61,Origin,False,39.11,-77.02003774287316,0.000000,0.000000,0.000000
61,Destination,False,38.8415898034398,-76.90928817188002,0.000000,0.000000,0.000000
62,Origin,False,39.11,-77.02003774287316,0.000000,0.000000,0.000000
62,Destination,False,38.7433097051597,-77.05279151244092,0.000000,0.000000,0.000000
