Index,NodeType,Direction,Latitude,Longitude,InterestCount%,AM%,PM%
0,Origin,True,38.98900995085995,-76.91202896247454,0.000020,0.000030,0.000012
0,Destination,True,38.86032675675675,-77.13549286563962,0.000020,0.000030,0.000012
1,Origin,True,38.69416965601965,-77.1248165479829,0.000105,0.000107,0.000103
1,Destination,True,38.744337927927916,-76.96371064942757,0.000105,0.000107,0.000103
2,Origin,False,38.744337927927916,-77.221,0.000010,0.000012,0.000008
2,Destination,False,38.8415898034398,-76.98177535469202,0.000010,0.000012,0.000008
3,Origin,True,39.03815,-77.2735489796532,0.000016,0.000020,0.000012
3,Destination,True,38.80233234234233,-76.87846026275304,0.000016,0.000020,0.000012
4,Origin,True,38.6450296068796,-77.34273650265179,0.000233,0.000217,0.000244
4,Destination,True,39.03431,-77.13587398698022,0.000233,0.000217,0.000244
5,Origin,True,38.546749508599504,-77.48807673971565,0.000001,0.000001,0.000001
5,Destination,True,38.86032675675675,-77.221,0.000001,0.000001,0.000001
6,Origin,True,38.79244975429975,-76.98094895126223,0.000067,0.000085,0.000055
6,Destination,True,39.03431,-76.88049594792085,0.000067,0.000085,0.000055
7,Origin,True,38.69416965601965,-77.63416,0.000002,0.000004,0.000000
7,Destination,True,39.03431,-77.221,0.000002,0.000004,0.000000
8,Origin,True,39.03815,-77.20142677558384,0.000012,0.000018,0.000008
8,Destination,True,38.86032675675675,-76.79346432819808,0.000012,0.000018,0.000008
9,Origin,False,38.86032675675675,-76.96447859691885,0.000025,0.000028,0.000023
9,Destination,False,38.8415898034398,-77.12674972031601,0.000025,0.000028,0.000023
10,Origin,True,38.69416965601965,-77.05205319769475,0.000012,0.000016,0.000009
10,Destination,True,38.80233234234233,-77.221,0.000012,0.000016,0.000009
11,Origin,False,38.80233234234233,-76.96409519706478,0.000004,0.000005,0.000004
11,Destination,False,38.9398699017199,-77.63416,0.000004,0.000005,0.000004
12,Origin,False,38.918321171171165,-76.79410142353471,0.000004,0.000007,0.000002
12,Destination,False,38.9398699017199,-77.41724730142936,0.000004,0.000007,0.000002
13,Origin,False,38.744337927927916,-76.79218441571261,0.000002,0.000004,0.000000
13,Destination,False,38.89072985257985,-77.41697322324397,0.000002,0.000004,0.000000
14,Origin,True,38.8415898034398,-77.416698451564,0.000341,0.000371,0.000319
14,Destination,True,39.03431,-76.88049594792085,0.000341,0.000371,0.000319
15,Origin,False,38.80233234234233,-76.87846026275304,0.000012,0.000016,0.000010
15,Destination,False,38.69416965601965,-76.90652649711843,0.000012,0.000016,0.000010
16,Origin,True,38.79244975429975,-77.63416,0.000031,0.000040,0.000025
16,Destination,True,39.03431,-76.96562196094064,0.000031,0.000040,0.000025
17,Origin,True,38.98900995085995,-76.98424206622708,0.000039,0.000048,0.000033
17,Destination,True,39.03431,-76.88049594792085,0.000039,0.000048,0.000033
18,Origin,True,38.8415898034398,-77.63416,0.000005,0.000007,0.000005
18,Destination,True,38.86032675675675,-76.96447859691885,0.000005,0.000007,0.000005
19,Origin,True,38.497609459459454,-77.19535081776927,0.000001,0.000001,0.000000
19,Destination,True,39.03431,-76.88049594792085,0.000001,0.000001,0.000000
20,Origin,False,39.03431,-77.13587398698022,0.000078,0.000083,0.000074
20,Destination,False,38.9398699017199,-77.41724730142936,0.000078,0.000083,0.000074
21,Origin,False,38.744337927927916,-76.96371064942757,0.000013,0.000014,0.000011
21,Destination,False,38.6450296068796,-77.48844825132589,0.000013,0.000014,0.000011
22,Origin,False,38.918321171171165,-76.96486085412083,0.000130,0.000161,0.000108
22,Destination,False,38.7433097051597,-77.05279151244092,0.000130,0.000161,0.000108
23,Origin,True,38.6450296068796,-77.48844825132589,0.000003,0.000004,0.000002
23,Destination,True,38.80233234234233,-76.96409519706478,0.000003,0.000004,0.000002
24,Origin,False,38.918321171171165,-77.13562028470695,0.000186,0.000187,0.000185
24,Destination,False,38.546749508599504,-77.19591021914697,0.000186,0.000187,0.000185
25,Origin,True,38.8415898034398,-77.63416,0.000000,0.000000,0.000000
25,Destination,True,38.918321171171165,-77.05024056941389,0.000000,0.000000,0.000000
26,Origin,False,38.744337927927916,-77.221,0.000104,0.000114,0.000097
26,Destination,False,38.595889557739554,-77.05057092809572,0.000104,0.000114,0.000097
27,Origin,False,38.80233234234233,-76.7928253284413,0.000013,0.000021,0.000008
27,Destination,False,38.7433097051597,-77.05279151244092,0.000013,0.000021,0.000008
28,Origin,False,38.918321171171165,-76.87948113882777,0.000033,0.000043,0.000025
28,Destination,False,38.546749508599504,-77.19591021914697,0.000033,0.000043,0.000025
29,Origin,True,38.98900995085995,-76.83981585872199,0.000007,0.000014,0.000003
29,Destination,True,38.744337927927916,-77.13523688314253,0.000007,0.000014,0.000003
30,Origin,False,38.97631558558558,-77.05049464918088,0.000163,0.000163,0.000163
30,Destination,False,39.03815,-77.56203779593064,0.000163,0.000163,0.000163
31,Origin,False,38.80233234234233,-76.87846026275304,0.000002,0.000003,0.000002
31,Destination,False,38.89072985257985,-77.63416,0.000002,0.000003,0.000002
32,Origin,True,38.9398699017199,-77.12803037000184,0.000217,0.000200,0.000229
32,Destination,True,39.03431,-77.221,0.000217,0.000200,0.000229
33,Origin,False,39.03431,-77.13587398698022,0.000008,0.000008,0.000008
33,Destination,False,38.546749508599504,-77.56111836985782,0.000008,0.000008,0.000008
34,Origin,True,38.79244975429975,-77.41642298375407,0.000021,0.000029,0.000015
34,Destination,True,38.97631558558558,-77.05049464918088,0.000021,0.000029,0.000015
35,Origin,True,38.79244975429975,-77.56158099458469,0.000088,0.000134,0.000054
35,Destination,True,38.744337927927916,-76.79218441571261,0.000088,0.000134,0.000054
36,Origin,False,38.80233234234233,-77.221,0.000145,0.000144,0.000146
36,Destination,False,38.7433097051597,-76.90744939055115,0.000145,0.000144,0.000146
37,Origin,False,38.918321171171165,-76.87948113882777,0.000002,0.000003,0.000002
37,Destination,False,38.89072985257985,-77.56176440774799,0.000002,0.000003,0.000002
38,Origin,True,38.595889557739554,-76.83172502613162,0.000000,0.000000,0.000000
38,Destination,True,38.86032675675675,-76.87897146255847,0.000000,0.000000,0.000000
39,Origin,False,38.744337927927916,-76.96371064942757,0.000002,0.000003,0.000002
39,Destination,False,38.546749508599504,-77.19591021914697,0.000002,0.000003,0.000002
40,Origin,False,38.80233234234233,-76.7928253284413,0.000001,0.000001,0.000000
40,Destination,False,39.03815,-77.41779338779192,0.000001,0.000001,0.000000
41,Origin,False,38.80233234234233,-77.04973013137652,0.000416,0.000409,0.000420
41,Destination,False,38.6450296068796,-77.12416887964064,0.000416,0.000409,0.000420
42,Origin,True,38.595889557739554,-77.48826273202393,0.000000,0.000000,0.000000
42,Destination,True,38.918321171171165,-76.87948113882777,0.000000,0.000000,0.000000
43,Origin,False,38.744337927927916,-76.79218441571261,0.000001,0.000001,0.000000
