Index,NodeType,Latitude,Longitude,InterestCount%,AM%,PM%
0,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
0,Destination,39.11,-77.284,0.000000,0.000000,0.000000
1,Origin,39.0646,-78.65719,0.001628,0.001957,0.000000
1,Destination,38.92981981981982,-77.01881603757707,0.001628,0.001957,0.000000
2,Origin,39.0646,-77.07157583122863,0.016281,0.020943,0.013048
2,Destination,38.92981981981982,-77.284,0.016281,0.020943,0.013048
3,Origin,38.92981981981982,-77.284,0.005336,0.004893,0.002900
3,Destination,37.98351891891892,-75.39570264862486,0.005336,0.004893,0.002900
4,Origin,38.74963963963964,-76.75116594155521,0.001809,0.002153,0.000725
4,Destination,36.90243783783784,-75.3001552409644,0.001809,0.002153,0.000725
5,Origin,36.90243783783784,-76.9786726204822,0.000000,0.000000,0.000000
5,Destination,38.74963963963964,-76.75116594155521,0.000000,0.000000,0.000000
6,Origin,38.74963963963964,-76.75116594155521,0.011125,0.008612,0.012686
6,Destination,36.90243783783784,-78.65719,0.011125,0.008612,0.012686
7,Origin,36.90243783783784,-75.3001552409644,0.000000,0.000000,0.000000
7,Destination,38.92981981981982,-76.75363207515413,0.000000,0.000000,0.000000
8,Origin,38.92981981981982,-76.75363207515413,0.029938,0.034449,0.039870
8,Destination,37.98351891891892,-78.65719,0.029938,0.034449,0.039870
9,Origin,39.11,-76.75607548574631,0.005246,0.005481,0.002175
9,Destination,39.0646,-77.07157583122863,0.005246,0.005481,0.002175
10,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
10,Destination,39.11,-76.75607548574631,0.000000,0.000000,0.000000
11,Origin,38.92981981981982,-76.75363207515413,0.011849,0.014484,0.007974
11,Destination,36.90243783783784,-76.9786726204822,0.011849,0.014484,0.007974
12,Origin,39.11,-76.75607548574631,0.003256,0.001566,0.004349
12,Destination,36.90243783783784,-75.3001552409644,0.003256,0.001566,0.004349
13,Origin,38.92981981981982,-76.75363207515413,0.002894,0.001174,0.002537
13,Destination,37.98351891891892,-77.02644632431243,0.002894,0.001174,0.002537
14,Origin,39.11,-77.02003774287316,0.002352,0.001174,0.002537
14,Destination,36.90243783783784,-75.3001552409644,0.002352,0.001174,0.002537
15,Origin,38.74963963963964,-77.284,0.005336,0.004110,0.003625
15,Destination,37.98351891891892,-75.39570264862486,0.005336,0.004110,0.003625
16,Origin,39.11,-77.02003774287316,0.008321,0.006068,0.006162
16,Destination,39.0646,-75.48596166245726,0.008321,0.006068,0.006162
17,Origin,39.11,-77.284,0.002352,0.000783,0.002900
17,Destination,37.98351891891892,-78.65719,0.002352,0.000783,0.002900
18,Origin,38.92981981981982,-77.284,0.002533,0.001957,0.001450
18,Destination,36.90243783783784,-75.3001552409644,0.002533,0.001957,0.001450
19,Origin,38.74963963963964,-77.01758297077761,0.009859,0.007046,0.006887
19,Destination,37.98351891891892,-77.02644632431243,0.009859,0.007046,0.006887
20,Origin,39.0646,-77.07157583122863,0.006965,0.006263,0.004349
20,Destination,38.74963963963964,-77.01758297077761,0.006965,0.006263,0.004349
21,Origin,39.11,-77.284,0.003347,0.001370,0.001812
21,Destination,39.0646,-75.48596166245726,0.003347,0.001370,0.001812
22,Origin,39.11,-76.75607548574631,0.003166,0.001957,0.000725
22,Destination,39.0646,-75.48596166245726,0.003166,0.001957,0.000725
23,Origin,36.90243783783784,-78.65719,0.000000,0.000000,0.000000
23,Destination,38.74963963963964,-77.284,0.000000,0.000000,0.000000
24,Origin,37.98351891891892,-78.65719,0.001628,0.001566,0.000000
