tripID,corridor,deviceID,providerID,providerType,providerDrivingProfile,vehicleWeightClass
c27bbedcb924a7ddf70b9e5702e13084,I-66-EB-TZ1-2-3_US-29-NB-TZ4,ec5422c1b1164ccc978f8c55f36f39c9,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
9e36e41103408de22f10173c6c618950,I-66-EB-TZ1-2-3_US-29-NB-TZ4,5af18a4a89dd34ccb64378f37eaa0950,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
d75ee3159d8951899a1fd70f00c9a7dd,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d1c93f84f79c393be31c0c6a5c093aca,fb7b9ffa5462084c5f4e7e85a093e6d7,1,1,1
5fa7e9ee59a3842ce8d2db5b58eaed44,I-66-EB-TZ1-2-3_US-29-NB-TZ4,a91acaa91ad0bbb736764117aff26d42,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
79820ac063447ace73c9311d38ac2168,I-66-EB-TZ1-2-3_US-29-NB-TZ4,1e96e6f97fea46470700a11bdc3dfd34,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
420481b810d7777257c77f3c22a49d8f,I-66-EB-TZ1-2-3_US-29-NB-TZ4,e841f85cf6b9e1219560171bb459a505,f033ab37c30201f73f142449d037028d,2,3,2
f342613416bd0566ecf3054ed029e6d6,I-66-EB-TZ1-2-3_US-29-NB-TZ4,33c2d03930abcfb861ab14a8a428d398,54229abfcfa5649e7003b83dd4755294,2,3,2
5c01b760e829f4c35a43ee268ea76b15,I-66-EB-TZ1-2-3_US-29-NB-TZ4,bb4967507f3befe688dd05f350972b8c,54229abfcfa5649e7003b83dd4755294,2,3,2
7915c64a56bfec157242fbd1f6b8b856,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b35ba5378e13bd2aef46f4815ac7f2cf,54229abfcfa5649e7003b83dd4755294,2,3,2
5cfad89fb8fd9f829093467bb6e9fd0f,I-66-EB-TZ1-2-3_US-29-NB-TZ4,7fc6ef7645707e67c582b2c9078d209b,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
b31d77e1eabcc5a51367d3240c141ee0,I-66-EB-TZ1-2-3_US-29-NB-TZ4,26a03fb145a986da282679c89caa8766,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
9bed3208d61bd6c84b87670df4c547d3,I-66-EB-TZ1-2-3_US-29-NB-TZ4,5466778bf03694275bae4c551cc5708e,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
4912f341ad16206a8e75e7eb4fdc402f,I-66-EB-TZ1-2-3_US-29-NB-TZ4,33c2d03930abcfb861ab14a8a428d398,54229abfcfa5649e7003b83dd4755294,2,3,2
414301202df3aea567353ef7f02622fe,I-66-EB-TZ1-2-3_US-29-NB-TZ4,cc5e1a41de7123b63cbcb3910181670e,82cec96096d4281b7c95cd7e74623496,1,1,1
9bb09e5fe87fddb15f2df5b6e3a0c7c7,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b2ee8c8d173551bfab98d7c9bfdc534b,82cec96096d4281b7c95cd7e74623496,1,1,1
be41b191262ba8c726f874a0dd7ad881,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d3f811f0885169f33f1bff19821661f4,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
76edc7b5917bdfe73d80c8c8c43484df,I-66-EB-TZ1-2-3_US-29-NB-TZ4,3e24b0a84c6b59e5cf279edf7101d91c,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
47b10f9bbcbe94dce47e0f944ce11617,I-66-EB-TZ1-2-3_US-29-NB-TZ4,bd8e1f64cb3cad24e25b3f118d1f7801,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
43b12ca4326e8a4eae9aaeace773de7b,I-66-EB-TZ1-2-3_US-29-NB-TZ4,ae0b1d127a3f6d2aa037e9f39221071e,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
390657ff3f26f0138e7f7b10f8af94fd,I-66-EB-TZ1-2-3_US-29-NB-TZ4,2884367eb8c81cac8c1ee1104c045389,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
2faac3055f321557f241371ee5bd80f1,I-66-EB-TZ1-2-3_US-29-NB-TZ4,e4a8504c8fe0ebf984742434fce4436f,39059724f73a9969845dfe4146c5660e,1,1,1
b2def14497c466d35548cb7ac6044828,I-66-EB-TZ1-2-3_US-29-NB-TZ4,1db389611051a54797dfd02aeb7e33ec,54229abfcfa5649e7003b83dd4755294,2,3,2
d4635c9b7cacc3a20c8ebdc2d3d0b058,I-66-EB-TZ1-2-3_US-29-NB-TZ4,301fa09364afaa3cba1668b46159fd9f,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
600940bc5b2dab796fbe56901bc95f27,I-66-EB-TZ1-2-3_US-29-NB-TZ4,f84037206fde982fb0805b74d1c582b9,39059724f73a9969845dfe4146c5660e,1,1,1
192295332c3ac61b41e6ebf4e89c44e7,I-66-EB-TZ1-2-3_US-29-NB-TZ4,a3f12d89e205e5ea6c3e0dd099e26379,54229abfcfa5649e7003b83dd4755294,2,3,2
