tripID,corridor,deviceID,providerID,providerType,providerDrivingProfile,vehicleWeightClass
7234f2296949e69a0c968fa850e26e97,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d3328e5a6ff8271896ef058189cff943,a02ffd91ece5e7efeb46db8f10a74059,2,3,1
6dc7ac0ecc290364712761265246b16f,I-66-EB-TZ1-2-3_US-29-NB-TZ4,fc4ea4e1fec4bd4e7f38e5b3b7af9954,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
304b6f2d7fa5124933c00ff4322fe80b,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b53997b5babb0c4bde8993d85caa5607,54229abfcfa5649e7003b83dd4755294,2,3,2
01d05b2656dff6f16b2070b5d8e436f0,I-66-EB-TZ1-2-3_US-29-NB-TZ4,4c28c3c5941048b4a0895de677afe522,66f041e16a60928b05a7e228a89c3799,2,3,2
56998947bcf5ef268d68ea5709f898e0,I-66-EB-TZ1-2-3_US-29-NB-TZ4,273370fc05d4ec77d3e0b7daf5e489a0,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
8b146d670ced67b4927a6b79eb94c015,I-66-EB-TZ1-2-3_US-29-NB-TZ4,f1a7fb42e4e13f7621716eb0cdcd4cd0,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
a07fac294b1fa7e566deda2d5a57d30d,I-66-EB-TZ1-2-3_US-29-NB-TZ4,4e05eb08751ccb450fd537694a00e695,84d9ee44e457ddef7f2c4f25dc8fa865,1,1,1
82b366ad4abdd12eb14907430ac9d78e,I-66-EB-TZ1-2-3_US-29-NB-TZ4,cdb489cda887896431840615eca37719,8dd48d6a2e2cad213179a3992c0be53c,1,1,1
7d677b8b6266fe371a722304e3fa5876,I-66-EB-TZ1-2-3_US-29-NB-TZ4,d1d859edec37fb3d3372f070534bf9aa,54229abfcfa5649e7003b83dd4755294,2,3,2
8429ccdca401f5bbe6181c55dc746063,I-66-EB-TZ1-2-3_US-29-NB-TZ4,04b1865e058ccf08417e6d7b520fed0d,54229abfcfa5649e7003b83dd4755294,2,3,2
3e1bc4f45017b8d260f39aa30bf65c9a,I-66-EB-TZ1-2-3_US-29-NB-TZ4,6eaf2f8348537c59c9e239a8fb965832,54229abfcfa5649e7003b83dd4755294,2,3,2
0d205c31595da877b31eb856a3c4d013,I-66-EB-TZ1-2-3_US-29-NB-TZ4,aeeb3b6ce475787c9e4e3fc0d5fdbcf3,54229abfcfa5649e7003b83dd4755294,2,3,2
6883d687e9a4ac03fd644ee19463882a,I-66-EB-TZ1-2-3_US-29-NB-TZ4,aeeb3b6ce475787c9e4e3fc0d5fdbcf3,54229abfcfa5649e7003b83dd4755294,2,3,2
8b49dd71fa0eee36adb9c2b73f0d3999,I-66-EB-TZ1-2-3_US-29-NB-TZ4,2424227b2efe5601f1a48ec90ebfb58f,c3e878e27f52e2a57ace4d9a76fd9acf,1,1,1
8c17d393911301d0a95d194a5cf7a065,I-66-EB-TZ1-2-3_US-29-NB-TZ4,aeeb3b6ce475787c9e4e3fc0d5fdbcf3,54229abfcfa5649e7003b83dd4755294,2,3,2
627d40acadf33451817169a99c686418,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b12807e79a063e27c334efff2a1d22aa,82cec96096d4281b7c95cd7e74623496,1,1,1
a089e574605495bcaa272ec34cf38c86,I-66-EB-TZ1-2-3_US-29-NB-TZ4,e8d3b5f51d10dc0ab6a6cfb962f9ca76,82cec96096d4281b7c95cd7e74623496,1,1,1
ebc9a4e4c5cb69418887def8a5c08b1f,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b300b159d261c0804cc0340e21047afe,39059724f73a9969845dfe4146c5660e,1,1,1
9489e26ae69d49ebbf05b892bd80e3c1,I-66-EB-TZ1-2-3_US-29-NB-TZ4,f169df316e6d346e225978ac1fb26cb9,f033ab37c30201f73f142449d037028d,2,3,2
bd7d9f90e1e6b132a4c76323ab359454,I-66-EB-TZ1-2-3_US-29-NB-TZ4,6077bf94199a814070da4b797e39c318,82cec96096d4281b7c95cd7e74623496,1,1,1
9885ab1e389ed595a61cafd0e02833d6,I-66-EB-TZ1-2-3_US-29-NB-TZ4,b0db38bbecc2bc903c6b980690818d71,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
8531c57ab7406670a976e3e602444897,I-66-EB-TZ1-2-3_US-29-NB-TZ4,33df9df768101c57e91e0422272b4a9a,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
47a62ef55e4a0b1b4414607a0b30f966,I-66-EB-TZ1-2-3_US-29-NB-TZ4,24f2f5044d2f0f40d4ee10135df975d7,3ad7c2ebb96fcba7cda0cf54a2e802f5,1,1,1
